Station, Sample, Depth,   Salinity,    Temp, d13C-DIC,  DIC,   ALK
BATS, 1989-01-29,18,36.645,20.79,1.48,2039.48,2395.04
BATS, 1990-06-22,1,36.456,24.99,1.36,2031.94,2384.17
BATS, 1990-06-22,10,36.467,24.33,1.4,2031.79,2378.03
BATS, 1990-07-18,2,36.456,27.35,1.38,2030.62,2378.91
BATS, 1990-07-18,10,36.454,27.25,1.39,2030.89,2377.16
BATS, 1990-08-14,1,36.589,28.11,1.45,2021.44,2392.3
BATS, 1990-08-14,10,36.588,27.97,1.45,2021.33,2388.81
BATS, 1990-09-11,3,36.472,29.04,1.47,2013.33,2384.23
BATS, 1990-09-11,11,36.458,28.31,1.47,2013.68,2379.64
BATS, 1990-10-15,1,36.492,25.88,1.48,2019.34,2388.98
BATS, 1990-10-15,11,36.491,28.51,1.51,2019.6,2386.34
BATS, 1990-11-05,2,36.672,24.66,1.45,2027.88,2396.92
BATS, 1990-11-05,11,36.678,24.66,1.5,2026.92,2388.47
BATS, 1990-12-04,2,36.732,22.94,1.42,2035.58,2403.93
BATS, 1990-12-04,10,36.73,22.94,1.48,2034.22,2402.69
BATS, 1991-03-21,2,36.649,19.4,1.24,2062.96,2393.98
BATS, 1991-03-21,11,36.641,19.24,1.28,2063.48,2391.34
BATS, 1991-04-16,1,36.676,19.78,1.22,2064.08,2392.5
BATS, 1991-04-16,9,36.675,19.73,1.27,2061.45,2390.25
BATS, 1991-05-13,2,36.653,20.5,1.29,2060.41,2391.6
BATS, 1991-05-13,11,36.652,20.39,1.34,2059.89,2392.62
BATS, 1991-06-19,4,36.709,25.35,1.36,2046.8,2397.64
BATS, 1991-06-19,10,36.705,24.96,1.37,2046.49,2396.25
BATS, 1991-07-15,1,36.487,27.44,1.36,2032.8,2384.43
BATS, 1991-07-15,10,36.457,27.2,1.41,2030.9,2381.64
BATS, 1991-08-12,1,36.896,29.58,1.36,2040.56,2408.39
BATS, 1991-08-12,9,36.963,28.98,1.43,2043.14,2414.39
BATS, 1991-09-13,1,36.379,26.74,1.43,2019.83,2379.62
BATS, 1991-09-13,10,36.385,26.42,1.45,2020.2,2376.17
BATS, 1991-11-11,2,36.65,23.37,1.4,2033.97,2395.78
BATS, 1991-11-11,10,36.649,23.37,1.46,2032.73,2394.39
BATS, 1991-12-10,1,36.783,22.66,1.38,2044.72,2400.32
BATS, 1991-12-10,12,36.781,22.66,1.43,2043.28,2401.38
BATS, 1992-01-09,3,36.699,20.73,1.3,2053.22,2398.9
BATS, 1992-01-09,21,36.695,20.73,1.35,2052.92,2397.8
BATS, 1992-02-13,1,36.677,19.3,1.2,2066.47,2394.93
BATS, 1992-02-13,9,36.677,19.3,1.25,2065.86,2398.52
BATS, 1992-03-10,2,36.663,19.62,1.24,2060.18,2397.71
BATS, 1992-03-10,10,36.664,19.63,1.28,2060.28,2395.12
BATS, 1992-04-24,1,36.779,20.62,1.24,2065.27,2399.48
BATS, 1992-04-24,11,36.777,20.49,1.28,2064.51,2401.74
BATS, 1992-05-06,3,36.797,21.12,1.25,2062.06,2405.38
BATS, 1992-05-06,10,36.792,21.12,1.27,2063.93,2408.52
BATS, 1992-06-17,2,36.4,23.52,1.28,2040.25,2372.91
BATS, 1992-06-17,11,36.41,23.52,1.34,2039.78,2379.35
BATS, 1992-07-14,1,36.392,26.39,1.35,2030.49,2377.68
BATS, 1992-07-14,9,36.389,26.36,1.36,2030.68,2378.27
BATS, 1992-08-16,2,36.412,28.48,1.36,2019.27,2378.08
BATS, 1992-08-16,9,36.433,28.05,1.39,2020.27,2379.54
BATS, 1992-09-15,1,36.307,27.12,1.5,2011.7,2374.68
