Station, Sample, Depth,   Salinity,    Temp, d13C-DIC,  DIC,   ALK
BERM, 1983-09-12,10,36.146,27.24,1.54,2000.51,      NaN
BERM, 1983-10-10,1,35.955,26.35,1.62,1987.32,2346.19
BERM, 1983-10-10,10,35.951,26.35,1.6,1986.95,2346.36
BERM, 1984-01-27,1,36.399,20.2,1.5,2031.94,2369.85
BERM, 1984-01-27,10,36.381,20.41,1.35,2030.01,      NaN
BERM, 1984-03-09,1,36.463,19.81,1.34,2043.46,      NaN
BERM, 1984-03-09,10,36.466,19.88,1.4,2042.86,      NaN
BERM, 1984-04-03,1,36.483,19.61,1.42,2046.66,      NaN
BERM, 1984-04-03,10,36.467,19.49,1.39,2044.8,      NaN
BERM, 1984-04-30,1,36.479,19.74,1.46,2043.68,      NaN
BERM, 1984-04-30,10,36.48,20.05,1.46,2043.88,      NaN
BERM, 1984-06-28,1,36.307,23.78,   NaN,2028.12,      NaN
BERM, 1984-06-28,10,36.299,23.44,1.54,2024.09,      NaN
BERM, 1984-07-25,1,36.446,27.12,   NaN,2033.53,      NaN
BERM, 1984-07-25,10,36.442,26.65,1.58,2030.82,      NaN
BERM, 1984-08-16,1,36.454,28.09,1.57,2022.67,      NaN
BERM, 1984-08-16,10,36.414,27.29,1.59,2022.01,2369.31
BERM, 1984-09-11,1,36.497,26.69,1.64,2018.15,      NaN
BERM, 1984-09-11,10,36.494,26.6,1.62,2017.38,      NaN
BERM, 1984-09-12,1,36.459,26.64,1.63,2017.23,2391.14
BERM, 1984-10-18,1,36.378,23.14,1.62,2020,      NaN
BERM, 1984-10-18,10,36.377,23.49,1.57,2021.61,      NaN
BERM, 1984-11-19,1,36.454,23.52,1.63,2023.94,2378.74
BERM, 1984-11-19,10,36.456,22.44,1.63,2023.73,2379.9
BERM, 1984-12-17,1,36.434,20.79,1.62,2030.08,2380.41
BERM, 1984-12-17,10,36.431,20.76,1.62,2029.91,2379.33
BERM, 1985-02-05,1,36.489,19.12,1.41,2048.77,2390.1
BERM, 1985-02-05,10,36.508,19.21,1.45,2048.16,2383.19
BERM, 1985-02-12,1,36.513,19.04,1.41,2051.09,2383.37
BERM, 1985-02-12,10,36.51,18.96,1.46,2051.1,2385.38
BERM, 1985-03-15,1,36.52,19.18,1.47,2049.63,2383.23
BERM, 1985-03-15,10,36.52,19.03,1.47,2048.77,2384.3
BERM, 1985-04-11,1,36.467,19.14,1.44,2046.46,2377.31
BERM, 1985-04-11,10,36.46,19.11,1.46,2046.7,2378.5
BERM, 1985-05-06,10,36.473,19.89,1.51,2046.34,2376.53
BERM, 1985-05-06,1,36.476,20.12,1.53,2046.33,2375.04
BERM, 1985-06-25,1,36.483,26.13,1.56,2036.77,      NaN
BERM, 1985-06-25,10,36.475,25.76,1.56,2035.61,      NaN
BERM, 1985-07-22,1,36.434,27.23,1.61,2026.98,2374.72
