Station, Sample, Depth,   Salinity,    Temp, d13C-DIC,  DIC,   ALK
HAWI, 1988-10-30,20,35.229,26.19,1.6,1963.2,2320.07
HAWI, 1988-12-02,1,34.984,25.62,1.49,1954.77,2306.08
HAWI, 1988-12-02,26,34.991,25.56,1.54,1954.23,2304.47
HAWI, 1989-01-08,38,35.028,24.63,1.6,1963.64,2299.31
HAWI, 1989-01-08,3,35.03,24.63,1.47,1963.1,2303.87
HAWI, 1989-03-27,5,34.639,24.36,1.65,1945.83,2280.73
HAWI, 1989-03-27,28,34.682,24.33,1.66,1946.47,2283.31
HAWI, 1989-05-19,5,34.977,23.89,1.48,1966,2307.06
HAWI, 1989-05-19,24,35.002,23.85,1.5,1967.16,2306.12
HAWI, 1989-06-06,25,34.495,25.8,1.55,1938.06,2276.29
HAWI, 1989-06-06,5,34.504,25.8,1.57,1939.21,2275.56
HAWI, 1989-07-29,6,34.921,25.43,1.56,1957.14,2300.57
HAWI, 1989-07-29,26,34.92,25.37,1.56,1956.45,2302.42
HAWI, 1989-08-24,5,34.66,26.21,1.58,1943.2,2284.06
HAWI, 1989-08-24,26,34.66,26.2,1.54,1943.3,2286.21
HAWI, 1989-09-23,8,34.771,26.35,1.59,1946.5,2286.48
HAWI, 1989-09-23,25,34.771,26.34,1.61,1947.6,2287.3
HAWI, 1989-10-19,7,34.907,26.18,1.71,1952.57,2299.43
HAWI, 1989-10-19,29,34.91,26,1.62,1953.09,2298.01
HAWI, 1989-11-28,6,34.93,25.07,1.62,1957.3,2302.79
HAWI, 1989-11-28,25,34.932,25.07,1.64,1957.32,2300.7
HAWI, 1990-02-16,5,34.735,24.12,1.61,1952.51,2286.59
HAWI, 1990-02-16,25,34.736,24.14,1.58,1952.31,2286.53
HAWI, 1990-03-19,5,34.849,23.1,   NaN,1964.78,2294.26
HAWI, 1990-03-19,25,34.847,23.11,1.5,1965.1,2293.27
HAWI, 1990-04-13,25,35.051,22.59,1.56,1975.58,2306.22
HAWI, 1990-04-13,5,35.026,23.09,1.56,1974.3,2304.89
HAWI, 1990-05-09,5,34.93,24.1,1.55,1965.73,2297.23
HAWI, 1990-05-09,25,34.932,23.7,1.57,1966.18,2295.75
HAWI, 1990-06-13,25,35.063,24.65,   NaN,1971.53,      NaN
HAWI, 1990-06-13,5,35.069,24.64,1.54,1971.85,2304.9
HAWI, 1990-07-25,25,34.868,25.81,1.57,1954.73,2291.91
HAWI, 1990-07-25,5,34.874,25.82,1.64,1955.51,2291.54
HAWI, 1990-09-14,10,34.981,26.5,1.59,1966.65,2305.48
HAWI, 1990-09-14,20,34.983,26.45,1.6,1966.77,2303.46
HAWI, 1990-12-17,25,35.211,23.97,1.56,1977.72,2317.02
HAWI, 1990-12-17,10,35.206,23.97,1.57,1977.2,2313.96
HAWI, 1990-12-18,7,35.225,24,1.59,1979.26,2317.18
HAWI, 1990-12-18,37,35.225,24,1.57,1978.97,2316.12
HAWI, 1991-02-02,26,35.076,23.48,   NaN,1973.9,2304.6
HAWI, 1991-02-02,6,35.062,23.52,   NaN,1970.57,2300.23
HAWI, 1991-03-06,5,35.191,22.68,   NaN,1981.26,2314.43
HAWI, 1991-03-06,25,35.177,22.67,   NaN,1981.28,2316.02
HAWI, 1991-04-09,25,34.938,23.4,1.46,1968.35,2294.48
HAWI, 1991-04-09,6,35.031,23.4,1.47,1970.16,2293.69
HAWI, 1991-05-08,28,34.896,23.94,1.45,1965.57,2295.56
HAWI, 1991-05-08,11,34.9,23.93,1.46,1964.35,2298.77
HAWI, 1991-06-04,28,34.964,24.6,1.48,1966.57,2301.56
HAWI, 1991-06-04,6,34.957,24.67,   NaN,     NaN,2304.27
HAWI, 1991-07-09,23,34.875,25.54,1.52,1960.99,2297.02
HAWI, 1991-07-09,3,34.895,25.58,1.51,1963.19,2296.21
HAWI, 1991-08-10,26,34.953,25.88,1.53,1964.04,2301.54
HAWI, 1991-08-10,7,34.955,25.88,1.51,1965.9,2299.59
HAWI, 1991-09-17,31,35.027,26.29,1.54,1963.97,2307.31
HAWI, 1991-10-21,7,34.801,26.91,1.54,1944.41,2287.25
HAWI, 1991-10-21,27,34.802,26.91,1.53,1944.55,2290.34
HAWI, 1991-12-06,24,34.916,25.76,1.52,1955.52,2299.34
HAWI, 1991-12-06,7,34.913,25.76,1.53,1955.51,2300.38
HAWI, 1992-01-04,26,34.996,24.26,   NaN,     NaN,      NaN
HAWI, 1992-01-04,6,35.009,24.26,   NaN,     NaN,      NaN
HAWI, 1992-02-15,31,35.14,23.02,1.43,1980.01,2312.5
HAWI, 1992-02-15,6,35.028,22.99,1.42,1973.3,2305.14
HAWI, 1992-04-16,29,35.088,23.58,1.47,1973.93,2310.43
HAWI, 1992-04-16,8,35.106,23.64,1.44,1978.44,2309.5
HAWI, 1992-06-08,25,34.83,25.83,1.46,1956.68,2292.35
HAWI, 1992-06-08,5,34.825,25.85,1.47,1957.71,2291.79
HAWI, 1992-07-05,28,35.165,25.13,1.47,1975.58,2316.63
HAWI, 1992-08-06,31,34.931,26.11,1.49,1957.76,2297.22
HAWI, 1992-08-06,10,34.933,26.1,1.49,1956.16,2298.14
HAWI, 1992-09-21,25,35.064,26.27,1.53,1960.8,      NaN
HAWI, 1992-09-21,6,35.073,26.32,1.52,1961.59,2308.33
HAWI, 1992-10-18,25,35.108,26.45,1.53,1962,2311.18
HAWI, 1992-10-18,8,35.09,26.55,1.51,1962.24,      NaN
HAWI, 1992-11-24,25,34.77,25.71,1.53,1948.22,2285.32
HAWI, 1992-11-24,5,34.78,25.72,1.52,1948.32,2288.19
HAWI, 1992-12-16,25,34.865,24.9,   NaN,     NaN,      NaN
HAWI, 1992-12-16,5,34.844,24.99,   NaN,     NaN,      NaN
HAWI, 1993-01-20,25,35.005,22.98,1.37,1969.23,2300.76
HAWI, 1993-01-20,5,34.995,23.04,1.4,1968.31,2301.94
HAWI, 1993-02-16,25,34.954,23.42,1.4,1965.64,2301
