"-------------------------------------------------------------------------------------------"
"  Daily average CO2 concentrations (ppm) derived from flask air samples                    "
"  For Christmas Island 157W 2N"
"                                                                                           "
"   Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                 "
"   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
"   Scripps Institution of Oceanography (SIO)                                               "
"   University of California                                                                "
"   La Jolla, California USA 92093-0244                                                     "
"                                                                                           "
"   Status of data and correspondence:                                                      "
"                                                                                           "
"   These data are subject to revision based on recalibration of standard gases. Questions  "
"   about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and          "
"   and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                  "
"                                                                                           "
" Flask data in this file from archive dated 2021-10-14 09:23:51                            "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"   Please cite as:                                                                         "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and "
"   oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps  "
"   Institution of Oceanography, San Diego, 88 pages, 2001.                                 "
"                                                                                           "
"   If it is necessary to cite a peer-reviewed article, please cite as:                     "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and     "
"   oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,     "
"   in 'A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems',   "
"   editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,               "
"   New York, 2005.                                                                         "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"   Sampling dates are reported in 3 formats: Year, Month, Day, Hour and Minute             "
"                                             MSExcel spreadsheet date format               "
"                                             Decimal year and fractional year              "
" N   - Number of flasks used in daily average                                              "
"                                                                                           "
"                                                                                           "
" FGC -   CO2 Flags                                                                         "
"  -3 - Potentially Suspect Data Accepted                                                   "
"  -2 - Accepted value from continuous analyzer                                             "
"  -1 - Accepted flask value retained although individual measurements deviated             "
"       by more than selected tolerance                                                     "
"   0 - Accepted flask value                                                                "
"   1 - Rejected during analysis                                                            "
"   2 - Rejected unacceptably large flask-analyzer differences associated                   "
"                with night sampling (used only at MLO between Dec 1962 and Sep 1968)       "
"   3 - Rejected flask measurement; used continuous data instead                            "
"   4 - Rejected Replicates do not agree to selected tolerance or single flask              "
"   5 - Rejected Daily average deviates from fit by more than 3 standard deviations         "
"   6 - Rejected to improve local distribution of data such as too many                     "
"                data of generally poor quality (used only at two stations:                 "
"                KUM Aug 1979 - Jun 1980 and LJO Apr 1979 - Sep 1985)                       "
"   7 - Rejected Unsteady air at site (La Jolla only)                                       "
"   8 - Rejected manually (see input/flag_flasks.csv)                                       "
"   9 - Rejected legacy data                                                                "
"                                                                                           "
" Averages for CO2 have been filtered by deviation from curve fit.                          "
"                                                                                           "
"  Cx - CO2 value (ppm)                                                                     "
"          CO2 concentrations are measured on the '12' Calibration Scale                    "
"                                                                                           "
"   Sample,Sample,    Excel,   Sample, NC,FGC,      Cx                                      "
"     Date,  Time,     Date,     Date,                                                      "
1974-12-10, 10:38, 27373.44, 1974.941,  5,  0, 331.10
1974-12-20, 09:33, 27383.40, 1974.968,  2,  4, 332.52
1975-01-01, 09:27, 27395.39, 1975.001,  3,  0, 332.20
1975-01-15, 08:15, 27409.34, 1975.039,  2,  0, 331.11
1975-02-01, 09:35, 27426.40, 1975.086,  3,  0, 332.05
1975-02-15, 09:24, 27440.39, 1975.124,  2,  0, 331.50
1975-03-09, 12:01, 27462.50, 1975.185,  2,  0, 331.77
1975-03-15, 08:50, 27468.37, 1975.201,  3,  0, 331.89
1975-04-01, 08:45, 27485.36, 1975.248,  3,  4, 332.96
1975-04-15, 09:18, 27499.39, 1975.286,  2,  0, 332.54
1975-05-01, 11:40, 27515.49, 1975.330,  3,  0, 332.40
1975-05-16, 10:52, 27530.45, 1975.371,  3,  0, 332.45
1975-06-01, 09:32, 27546.40, 1975.415,  3,  4, 333.08
1975-06-15, 10:49, 27560.45, 1975.453,  3,  4, 359.49
1975-07-01, 09:23, 27576.39, 1975.497,  3,  4, 333.90
1975-07-15, 01:04, 27590.04, 1975.534,  2,  0, 332.07
1975-08-01, 09:20, 27607.39, 1975.582,  2,  0, 331.61
1975-08-15, 10:57, 27621.46, 1975.620,  3,  4, 334.05
1975-09-01, 10:45, 27638.45, 1975.667,  3,  0, 331.04
1975-09-19, 10:24, 27656.43, 1975.716,  2,  0, 332.61
1975-10-01, 09:35, 27668.40, 1975.749,  3,  0, 332.27
1975-10-15, 11:37, 27682.48, 1975.788,  3,  4, 335.93
1975-11-01, 09:50, 27699.41, 1975.834,  3,  0, 332.38
1975-11-15, 11:35, 27713.48, 1975.873,  2,  0, 332.53
1975-12-01, 08:50, 27729.37, 1975.916,  3,  0, 332.22
1975-12-15, 10:20, 27743.43, 1975.955,  3,  4, 332.40
1976-01-01, 10:35, 27760.44, 1976.001,  3,  0, 332.66
1976-01-15, 11:25, 27774.48, 1976.040,  3,  0, 332.80
1976-02-01, 08:20, 27791.35, 1976.086,  3,  0, 332.10
1976-02-15, 09:25, 27805.39, 1976.124,  3,  0, 332.29
1976-03-01, 08:45, 27820.36, 1976.165,  2,  0, 332.67
1976-03-15, 09:15, 27834.39, 1976.203,  3,  4, 332.97
1976-12-01, 12:21, 28095.51, 1976.917,  2,  0, 332.18
1976-12-15, 15:49, 28109.66, 1976.955,  3,  4, 332.11
1977-01-03, 15:23, 28128.64, 1977.007,  3,  0, 333.14
1977-01-15, 15:57, 28140.66, 1977.040,  3,  0, 332.65
1977-02-01, 13:00, 28157.54, 1977.086,  3,  0, 333.05
1977-02-15, 13:00, 28171.54, 1977.125,  3,  0, 333.66
1977-03-10, 13:17, 28194.55, 1977.188,  3,  0, 335.09
1977-03-18, 14:47, 28202.62, 1977.210,  3,  0, 334.94
1977-04-01, 14:48, 28216.62, 1977.248,  3,  0, 335.39
1977-04-15, 14:37, 28230.61, 1977.287,  3,  0, 336.40
1977-05-02, 13:36, 28247.57, 1977.333,  2,  0, 334.50
1977-05-16, 11:31, 28261.48, 1977.371,  3,  0, 336.36
1977-06-02, 13:56, 28278.58, 1977.418,  2,  5, 332.91
1977-06-15, 14:21, 28291.60, 1977.454,  3,  0, 334.86
1977-07-01, 12:46, 28307.53, 1977.497,  3,  0, 335.30
1977-07-15, 14:03, 28321.59, 1977.536,  3,  0, 334.12
1977-08-02, 14:12, 28339.59, 1977.585,  2,  0, 333.43
