"-------------------------------------------------------------------------------------------"
"  Daily average CO2 concentrations (ppm) derived from flask air samples                    "
"  For Kermadec Island: Latitude 29.2S Longitude 177.9W Elevation 2m"
"                                                                                           "
"   Source: R. F. Keeling, S. C. Piper, A. F. Bollenbacher and S. J. Walker                 "
"   Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                      "
"   Scripps Institution of Oceanography (SIO)                                               "
"   University of California                                                                "
"   La Jolla, California USA 92093-0244                                                     "
"                                                                                           "
"   Status of data and correspondence:                                                      "
"                                                                                           "
"   These data are subject to revision based on recalibration of standard gases. Questions  "
"   about the data should be directed to Dr. Ralph Keeling (rkeeling@ucsd.edu) and          "
"   and Dr. Stephen Piper (scpiper@popmail.ucsd.edu), Scripps CO2 Program.                  "
"                                                                                           "
" Flask data in this file from archive dated 2021-10-14 09:23:51                            "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
"   Please cite as:                                                                         "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and "
"   oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps  "
"   Institution of Oceanography, San Diego, 88 pages, 2001.                                 "
"                                                                                           "
"   If it is necessary to cite a peer-reviewed article, please cite as:                     "
"                                                                                           "
"   C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and     "
"   H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and     "
"   oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,     "
"   in 'A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems',   "
"   editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,               "
"   New York, 2005.                                                                         "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"   Sampling dates are reported in 3 formats: Year, Month, Day, Hour and Minute             "
"                                             MSExcel spreadsheet date format               "
"                                             Decimal year and fractional year              "
" N   - Number of flasks used in daily average                                              "
"                                                                                           "
"                                                                                           "
" FGC -   CO2 Flags                                                                         "
"  -3 - Potentially Suspect Data Accepted                                                   "
"  -2 - Accepted value from continuous analyzer                                             "
"  -1 - Accepted flask value retained although individual measurements deviated             "
"       by more than selected tolerance                                                     "
"   0 - Accepted flask value                                                                "
"   1 - Rejected during analysis                                                            "
"   2 - Rejected unacceptably large flask-analyzer differences associated                   "
"                with night sampling (used only at MLO between Dec 1962 and Sep 1968)       "
"   3 - Rejected flask measurement; used continuous data instead                            "
"   4 - Rejected Replicates do not agree to selected tolerance or single flask              "
"   5 - Rejected Daily average deviates from fit by more than 3 standard deviations         "
"   6 - Rejected to improve local distribution of data such as too many                     "
"                data of generally poor quality (used only at two stations:                 "
"                KUM Aug 1979 - Jun 1980 and LJO Apr 1979 - Sep 1985)                       "
"   7 - Rejected Unsteady air at site (La Jolla only)                                       "
"   8 - Rejected manually (see input/flag_flasks.csv)                                       "
"   9 - Rejected legacy data                                                                "
"                                                                                           "
" Averages for CO2 have been filtered by deviation from curve fit.                          "
"                                                                                           "
"  Cx - CO2 value (ppm)                                                                     "
"          CO2 concentrations are measured on the '12' Calibration Scale                    "
"                                                                                           "
"   Sample,Sample,    Excel,   Sample, NC,FGC,      Cx                                      "
"     Date,  Time,     Date,     Date,                                                      "
1982-12-08, 11:58, 30293.50, 1982.936,  2,  0, 339.91
1982-12-12, 12:58, 30297.54, 1982.947,  2,  0, 340.39
1982-12-26, 16:31, 30311.69, 1982.985,  3,  0, 340.65
1983-04-27, 13:33, 30433.56, 1983.319,  4,  0, 341.08
1983-05-31, 13:33, 30467.56, 1983.413,  4,  0, 341.33
1983-07-10, 13:35, 30507.57, 1983.522,  4,  0, 341.54
1983-10-28, 15:43, 30617.65, 1983.824,  2,  0, 341.80
1983-11-09, 14:18, 30629.60, 1983.856,  4,  0, 342.03
1983-11-21, 09:02, 30641.38, 1983.889,  2,  0, 342.45
1983-12-13, 15:27, 30663.64, 1983.950,  2,  0, 342.08
1984-03-07, 09:39, 30748.40, 1984.181,  2,  0, 342.34
1984-03-09, 09:23, 30750.39, 1984.187,  2,  0, 341.83
1984-03-14, 09:45, 30755.41, 1984.201,  2,  0, 342.56
1984-03-18, 20:42, 30759.86, 1984.213,  2,  0, 342.39
1984-04-16, 15:15, 30788.64, 1984.291,  1,  4, 343.06
1984-04-29, 15:27, 30801.64, 1984.327,  2,  0, 342.99
1984-05-19, 11:01, 30821.46, 1984.381,  2,  4, 342.58
1984-06-22, 09:25, 30855.39, 1984.474,  2,  0, 342.66
1984-06-30, 15:50, 30863.66, 1984.496,  2,  0, 342.49
1984-07-04, 15:29, 30867.64, 1984.507,  2,  0, 341.94
1985-04-03, 15:43, 31140.65, 1985.254,  2,  0, 343.90
1985-04-21, 14:30, 31158.60, 1985.303,  2,  0, 344.93
1985-05-23, 09:50, 31190.41, 1985.390,  2,  0, 342.74
1985-06-22, 10:28, 31220.44, 1985.472,  2,  0, 343.12
1985-07-07, 08:25, 31235.35, 1985.513,  2,  0, 344.13
1985-08-08, 07:18, 31267.30, 1985.601,  3,  0, 344.17
1985-09-04, 11:43, 31294.49, 1985.675,  2,  0, 344.51
1985-10-26, 08:30, 31346.35, 1985.817,  2,  0, 344.27
1985-11-24, 07:02, 31375.29, 1985.897,  2,  0, 344.37
1986-01-26, 10:56, 31438.46, 1986.070,  2,  4, 345.10
1986-02-18, 10:47, 31461.45, 1986.133,  2,  0, 346.22
1986-05-20, 11:06, 31552.46, 1986.382,  2,  0, 345.96
1986-05-26, 15:26, 31558.64, 1986.399,  2,  0, 344.92
1986-06-21, 11:29, 31584.48, 1986.470,  2,  0, 344.84
1986-08-01, 11:28, 31625.48, 1986.582,  2,  0, 345.70
1986-08-08, 12:50, 31632.53, 1986.601,  1,  4, 345.79
1986-08-22, 14:17, 31646.59, 1986.640,  2,  0, 345.65
1986-10-09, 09:50, 31694.41, 1986.771,  2,  0, 346.01
1986-11-12, 07:06, 31728.30, 1986.864,  2,  4, 352.67
1986-12-26, 06:45, 31772.28, 1986.984,  2,  4, 347.64
1987-01-04, 06:53, 31781.29, 1987.009,  2,  0, 346.22
1987-04-01, 15:20, 31868.64, 1987.248,  2,  0, 346.54
1987-05-19, 10:30, 31916.44, 1987.379,  2,  0, 347.03
1987-08-08, 09:39, 31997.40, 1987.601,  2,  0, 347.18
1987-08-24, 13:00, 32013.54, 1987.645,  2,  4, 347.44
1987-09-03, 15:56, 32023.66, 1987.673,  2,  0, 347.99
1987-09-22, 17:00, 32042.71, 1987.725,  2,  0, 347.72
1987-10-07, 13:00, 32057.54, 1987.766,  2,  0, 348.42
1987-11-09, 15:00, 32090.62, 1987.857,  2,  4, 349.32
