Flt, Pres.,Flag,   CO2
LK5,500,1,317.13
LK5,500,1,317.39
LK5,500,1,317.27
LK5,500,1,317.39
LK5,500,1,317.66
LK5,500,1,318.47
LK5,500,1,316.86
LK5,500,1,319
LK5,500,1,319.79
LK5,500,1,317.8
LK5,500,1,317.92
LK5,500,1,316.86
LK5,500,1,317
LK5,500,1,318.59
LK5,500,1,317.92
LK5,500,1,319
LK5,500,1,320.2
LK5,500,1,317.13
LK5,500,1,318.47
LK5,500,1,317.66
LK5,500,1,317
LK5,500,1,319.79
LK5,500,1,319.66
SK5,500,1,317.72
SK5,500,1,318.7
SK5,500,1,317.72
SK5,500,1,318
SK5,500,1,318.57
SK5,500,1,316.59
SK5,500,1,318
SK5,500,1,318.57
SK5,500,1,318.57
SK5,500,1,318.85
SK5,500,1,319.56
SK5,500,1,318.42
SK5,500,1,319.41
SK5,500,1,318
SK5,500,1,318.99
SK5,500,1,316.59
SK5,500,1,317.43
SK5,500,1,316.73
SK5,500,1,317.72
SK5,500,1,316.02
SK5,500,1,318
SK5,500,8,322.26
SK5,500,8,331.18
PT5,500,1,311.14
PT5,500,1,312.76
PT5,500,1,310.52
PT5,500,8,315.01
PT5,500,1,312.14
PT5,500,1,310.27
PT5,500,1,310.27
PT5,500,1,310.77
PT5,500,1,312.76
PT5,500,1,309.53
PT5,500,1,309.41
PT5,500,1,310.65
SK5,500,1,311.39
SK5,500,1,311.02
SK5,500,1,312.38
SK5,500,1,313.76
SK5,500,1,313.39
SK5,500,1,312.02
SK5,500,1,311.26
SK5,500,8,319.91
SK5,500,1,311.88
SK5,500,1,312.26
SK5,500,1,313.53
SK5,500,1,313.12
SK5,500,1,314.2
SK5,500,8,319.9
SK5,500,8,316.09
SK5,500,1,314.2
SK5,500,1,314.34
SK5,500,1,313.53
SK5,500,1,313.26
SK5,500,1,313.26
SK5,500,1,313.39
SS5,500,1,317.72
SS5,500,1,317.18
SS5,500,1,314.88
SS5,500,1,316.5
SS5,500,1,313.93
SS5,500,1,313.53
SS5,500,9,375.6
SS5,500,1,313.53
SS5,500,1,313.53
SS5,500,1,314.07
SS5,500,1,313.26
LK5,500,1,315.37
LK5,500,8,319.76
LK5,500,1,315.66
LK5,500,1,315.8
LK5,500,1,316.83
LK5,500,1,316.25
LK5,500,1,316.25
LK5,500,8,319.76
LK5,500,1,316.25
LK5,500,1,315.66
