"","Yr","Mn","station","CO2_concentration","hemisphere"
"1",1960,"Jan","alt",NA,"northern"
"2",1960,"Jan","mlo",NA,"northern"
"3",1960,"Jan","kum",NA,"northern"
"4",1960,"Jan","chr",NA,"northern"
"5",1960,"Jan","sam",NA,"southern"
"6",1960,"Jan","ker",NA,"southern"
"7",1960,"Jan","nzd",NA,"southern"
"8",1960,"Feb","alt",NA,"northern"
"9",1960,"Feb","mlo",NA,"northern"
"10",1960,"Feb","kum",NA,"northern"
"11",1960,"Feb","chr",NA,"northern"
"12",1960,"Feb","sam",NA,"southern"
"13",1960,"Feb","ker",NA,"southern"
"14",1960,"Feb","nzd",NA,"southern"
"15",1960,"Mar","alt",NA,"northern"
"16",1960,"Mar","mlo",317.69,"northern"
"17",1960,"Mar","kum",NA,"northern"
"18",1960,"Mar","chr",NA,"northern"
"19",1960,"Mar","sam",NA,"southern"
"20",1960,"Mar","ker",NA,"southern"
"21",1960,"Mar","nzd",NA,"southern"
"22",1960,"Apr","alt",NA,"northern"
"23",1960,"Apr","mlo",319.06,"northern"
"24",1960,"Apr","kum",NA,"northern"
"25",1960,"Apr","chr",NA,"northern"
"26",1960,"Apr","sam",NA,"southern"
"27",1960,"Apr","ker",NA,"southern"
"28",1960,"Apr","nzd",NA,"southern"
"29",1960,"May","alt",NA,"northern"
"30",1960,"May","mlo",319.43,"northern"
"31",1960,"May","kum",NA,"northern"
"32",1960,"May","chr",NA,"northern"
"33",1960,"May","sam",NA,"southern"
"34",1960,"May","ker",NA,"southern"
"35",1960,"May","nzd",NA,"southern"
"36",1960,"Jun","alt",NA,"northern"
"37",1960,"Jun","mlo",318.68,"northern"
"38",1960,"Jun","kum",NA,"northern"
"39",1960,"Jun","chr",NA,"northern"
"40",1960,"Jun","sam",NA,"southern"
"41",1960,"Jun","ker",NA,"southern"
"42",1960,"Jun","nzd",NA,"southern"
"43",1960,"Jul","alt",NA,"northern"
"44",1960,"Jul","mlo",317.13,"northern"
"45",1960,"Jul","kum",NA,"northern"
"46",1960,"Jul","chr",NA,"northern"
"47",1960,"Jul","sam",NA,"southern"
"48",1960,"Jul","ker",NA,"southern"
"49",1960,"Jul","nzd",NA,"southern"
"50",1960,"Aug","alt",NA,"northern"
"51",1960,"Aug","mlo",315.74,"northern"
"52",1960,"Aug","kum",NA,"northern"
"53",1960,"Aug","chr",NA,"northern"
"54",1960,"Aug","sam",NA,"southern"
"55",1960,"Aug","ker",NA,"southern"
"56",1960,"Aug","nzd",NA,"southern"
"57",1960,"Sep","alt",NA,"northern"
"58",1960,"Sep","mlo",313.72,"northern"
"59",1960,"Sep","kum",NA,"northern"
"60",1960,"Sep","chr",NA,"northern"
"61",1960,"Sep","sam",NA,"southern"
"62",1960,"Sep","ker",NA,"southern"
"63",1960,"Sep","nzd",NA,"southern"
"64",1960,"Oct","alt",NA,"northern"
"65",1960,"Oct","mlo",312.84,"northern"
"66",1960,"Oct","kum",NA,"northern"
"67",1960,"Oct","chr",NA,"northern"
"68",1960,"Oct","sam",NA,"southern"
