"","Yr","Mn","alt","mlo","kum","chr","sam","ker","nzd"
"1",1960,1,NA,NA,NA,NA,NA,NA,NA
"2",1960,2,NA,NA,NA,NA,NA,NA,NA
"3",1960,3,NA,317.69,NA,NA,NA,NA,NA
"4",1960,4,NA,319.06,NA,NA,NA,NA,NA
"5",1960,5,NA,319.43,NA,NA,NA,NA,NA
"6",1960,6,NA,318.68,NA,NA,NA,NA,NA
"7",1960,7,NA,317.13,NA,NA,NA,NA,NA
"8",1960,8,NA,315.74,NA,NA,NA,NA,NA
"9",1960,9,NA,313.72,NA,NA,NA,NA,NA
"10",1960,10,NA,312.84,NA,NA,NA,NA,NA
"11",1960,11,NA,315.24,NA,NA,NA,NA,NA
"12",1960,12,NA,316.8,NA,NA,NA,NA,NA
"13",1961,1,NA,317.4,NA,NA,NA,NA,NA
"14",1961,2,NA,317.93,NA,NA,NA,NA,NA
"15",1961,3,NA,318.13,NA,NA,NA,NA,NA
"16",1961,4,NA,319.92,NA,NA,NA,NA,NA
"17",1961,5,NA,320.47,NA,NA,NA,NA,NA
"18",1961,6,NA,318.82,NA,NA,NA,NA,NA
"19",1961,7,NA,318.94,NA,NA,NA,NA,NA
"20",1961,8,NA,315.5,NA,NA,NA,NA,NA
"21",1961,9,NA,315.63,NA,NA,NA,NA,NA
"22",1961,10,NA,314.91,NA,NA,NA,NA,NA
"23",1961,11,NA,316.17,NA,NA,NA,NA,NA
"24",1961,12,NA,318.14,NA,NA,NA,NA,NA
"25",1962,1,NA,317.86,NA,NA,NA,NA,NA
"26",1962,2,NA,318.35,NA,NA,NA,NA,NA
"27",1962,3,NA,320.02,NA,NA,NA,NA,NA
"28",1962,4,NA,320.29,NA,NA,NA,NA,NA
"29",1962,5,NA,321.53,NA,NA,NA,NA,NA
"30",1962,6,NA,320.06,NA,NA,NA,NA,NA
"31",1962,7,NA,318.01,NA,NA,NA,NA,NA
"32",1962,8,NA,317.12,NA,NA,NA,NA,NA
"33",1962,9,NA,315.36,NA,NA,NA,NA,NA
"34",1962,10,NA,314.66,NA,NA,NA,NA,NA
"35",1962,11,NA,316.94,NA,NA,NA,NA,NA
"36",1962,12,NA,317.87,NA,NA,NA,NA,NA
"37",1963,1,NA,318.69,NA,NA,NA,NA,NA
"38",1963,2,NA,319.32,NA,NA,NA,NA,NA
"39",1963,3,NA,320.1,NA,NA,NA,NA,NA
"40",1963,4,NA,321.27,NA,NA,NA,NA,NA
"41",1963,5,NA,321.78,NA,NA,NA,NA,NA
"42",1963,6,NA,321.02,NA,NA,NA,NA,NA
"43",1963,7,NA,319.43,NA,NA,NA,NA,NA
"44",1963,8,NA,317.39,NA,NA,NA,NA,NA
"45",1963,9,NA,316.42,NA,NA,NA,NA,NA
"46",1963,10,NA,316.06,NA,NA,NA,NA,NA
"47",1963,11,NA,317.35,NA,NA,NA,NA,NA
"48",1963,12,NA,318.52,NA,NA,NA,NA,NA
"49",1964,1,NA,319.32,NA,NA,NA,NA,NA
"50",1964,2,NA,319.93,NA,NA,NA,NA,NA
"51",1964,3,NA,320.72,NA,NA,NA,NA,NA
"52",1964,4,NA,321.87,NA,NA,NA,NA,NA
"53",1964,5,NA,322.34,NA,NA,NA,NA,NA
"54",1964,6,NA,321.53,NA,NA,NA,NA,NA
"55",1964,7,NA,319.91,NA,NA,NA,NA,NA
"56",1964,8,NA,317.85,NA,NA,NA,NA,NA
"57",1964,9,NA,316.36,NA,NA,NA,NA,NA
"58",1964,10,NA,316.52,NA,NA,NA,NA,NA
"59",1964,11,NA,317.82,NA,NA,NA,NA,NA
"60",1964,12,NA,319.02,NA,NA,NA,NA,NA
"61",1965,1,NA,319.92,NA,NA,NA,NA,NA
"62",1965,2,NA,320.43,NA,NA,NA,NA,NA
"63",1965,3,NA,321.21,NA,NA,NA,NA,NA
"64",1965,4,NA,322.61,NA,NA,NA,NA,NA
"65",1965,5,NA,322.92,NA,NA,NA,NA,NA
"66",1965,6,NA,322.17,NA,NA,NA,NA,NA
"67",1965,7,NA,319.27,NA,NA,NA,NA,NA
"68",1965,8,NA,318.58,NA,NA,NA,NA,NA
"69",1965,9,NA,317.13,NA,NA,NA,NA,NA
"70",1965,10,NA,317.35,NA,NA,NA,NA,NA
"71",1965,11,NA,318.72,NA,NA,NA,NA,NA
"72",1965,12,NA,319.97,NA,NA,NA,NA,NA
"73",1966,1,NA,320.5,NA,NA,NA,NA,NA
"74",1966,2,NA,321.89,NA,NA,NA,NA,NA
"75",1966,3,NA,322.4,NA,NA,NA,NA,NA
"76",1966,4,NA,324.42,NA,NA,NA,NA,NA
"77",1966,5,NA,324.22,NA,NA,NA,NA,NA
"78",1966,6,NA,323.5,NA,NA,NA,NA,NA
"79",1966,7,NA,321.94,NA,NA,NA,NA,NA
"80",1966,8,NA,319.92,NA,NA,NA,NA,NA
"81",1966,9,NA,318.46,NA,NA,NA,NA,NA
"82",1966,10,NA,319.33,NA,NA,NA,NA,NA
"83",1966,11,NA,319.77,NA,NA,NA,NA,NA
"84",1966,12,NA,321.14,NA,NA,NA,NA,NA
"85",1967,1,NA,322.05,NA,NA,NA,NA,NA
"86",1967,2,NA,322.7,NA,NA,NA,NA,NA
"87",1967,3,NA,323.5,NA,NA,NA,NA,NA
"88",1967,4,NA,324.68,NA,NA,NA,NA,NA
"89",1967,5,NA,325.21,NA,NA,NA,NA,NA
"90",1967,6,NA,324.85,NA,NA,NA,NA,NA
"91",1967,7,NA,322.77,NA,NA,NA,NA,NA
"92",1967,8,NA,320.74,NA,NA,NA,NA,NA
