Yr,Mn,Date Excel,Date,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled [ppm]
1974,1,27044,1974.0411,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,2,27075,1974.126,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,3,27103,1974.2027,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,4,27134,1974.2877,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,5,27164,1974.3699,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,6,27195,1974.4548,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,7,27225,1974.537,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,8,27256,1974.6219,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,9,27287,1974.7068,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,10,27317,1974.789,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,11,27348,1974.874,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1974,12,27378,1974.9562,331.26,331.78,330.73,331.24,331.26,331.78
1975,1,27409,1975.0411,331.93,331.76,331.51,331.34,331.93,331.76
1975,2,27440,1975.126,331.92,331.55,331.82,331.45,331.92,331.55
1975,3,27468,1975.2027,331.92,330.94,332.55,331.55,331.92,330.94
1975,4,27499,1975.2877,332.55,331,333.22,331.68,332.55,331
1975,5,27529,1975.3699,332.3,331.29,332.81,331.81,332.3,331.29
1975,6,27560,1975.4548,      NaN,      NaN,332.44,331.96,332.44,331.96
1975,7,27590,1975.537,332.07,331.83,332.33,332.1,332.07,331.83
1975,8,27621,1975.6219,331.27,331.82,331.69,332.25,331.27,331.82
1975,9,27652,1975.7068,331.59,332.75,331.22,332.38,331.59,332.75
1975,10,27682,1975.789,332.27,333.57,331.19,332.49,332.27,333.57
1975,11,27713,1975.874,332.52,333.74,331.36,332.57,332.52,333.74
1975,12,27743,1975.9562,332.64,333.16,332.13,332.63,332.64,333.16
1976,1,27774,1976.041,332.85,332.69,332.84,332.67,332.85,332.69
1976,2,27805,1976.1257,332.25,331.89,333.08,332.71,332.25,331.89
1976,3,27834,1976.2049,333.07,332.06,333.76,332.74,333.07,332.06
1976,4,27865,1976.2896,      NaN,      NaN,334.32,332.78,334.32,332.78
1976,5,27895,1976.3716,      NaN,      NaN,333.81,332.82,333.81,332.82
1976,6,27926,1976.4563,      NaN,      NaN,333.36,332.88,333.36,332.88
1976,7,27956,1976.5383,      NaN,      NaN,333.15,332.93,333.15,332.93
1976,8,27987,1976.623,      NaN,      NaN,332.42,333,332.42,333
1976,9,28018,1976.7077,      NaN,      NaN,331.91,333.07,331.91,333.07
1976,10,28048,1976.7896,      NaN,      NaN,331.85,333.15,331.85,333.15
1976,11,28079,1976.8743,      NaN,      NaN,332.04,333.25,332.04,333.25
1976,12,28109,1976.9563,332.63,333.15,332.86,333.36,332.63,333.15
1977,1,28140,1977.0411,333.01,332.85,333.65,333.48,333.01,332.85
1977,2,28171,1977.126,333.44,333.07,333.99,333.62,333.44,333.07
1977,3,28199,1977.2027,335.05,334.06,334.75,333.75,335.05,334.06
1977,4,28230,1977.2877,335.99,334.45,335.43,333.89,335.99,334.45
1977,5,28260,1977.3699,335.52,334.51,335.02,334.02,335.52,334.51
1977,6,28291,1977.4548,334.86,334.38,334.64,334.15,334.86,334.38
1977,7,28321,1977.537,334.66,334.43,334.49,334.27,334.66,334.43
1977,8,28352,1977.6219,333.71,334.26,333.82,334.38,333.71,334.26
1977,9,28383,1977.7068,333.47,334.63,333.33,334.49,333.47,334.63
1977,10,28413,1977.789,333.51,334.81,333.29,334.59,333.51,334.81
1977,11,28444,1977.874,333.48,334.7,333.47,334.68,333.48,334.7
1977,12,28474,1977.9562,334.16,334.68,334.27,334.78,334.16,334.68
