Yr,Mn,Date Excel,Date,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled [ppm]
1982,1,29966,1982.0411,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,2,29997,1982.126,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,3,30025,1982.2027,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,4,30056,1982.2877,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,5,30086,1982.3699,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,6,30117,1982.4548,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,7,30147,1982.537,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,8,30178,1982.6219,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,9,30209,1982.7068,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,10,30239,1982.789,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,11,30270,1982.874,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1982,12,30300,1982.9562,340.34,339.93,340.55,340.14,340.34,339.93
1983,1,30331,1983.0411,      NaN,      NaN,340.94,340.36,340.94,340.36
1983,2,30362,1983.126,      NaN,      NaN,341.02,340.57,341.02,340.57
1983,3,30390,1983.2027,      NaN,      NaN,340.88,340.76,340.88,340.76
1983,4,30421,1983.2877,341.1,341.33,340.72,340.96,341.1,341.33
1983,5,30451,1983.3699,341.23,341.63,340.74,341.14,341.23,341.63
1983,6,30482,1983.4548,      NaN,      NaN,340.97,341.32,340.97,341.32
1983,7,30512,1983.537,341.58,341.81,341.25,341.47,341.58,341.81
1983,8,30543,1983.6219,      NaN,      NaN,341.44,341.61,341.44,341.61
1983,9,30574,1983.7068,      NaN,      NaN,341.55,341.74,341.55,341.74
1983,10,30604,1983.789,341.67,341.8,341.73,341.85,341.67,341.8
1983,11,30635,1983.874,342.19,342.08,342.08,341.97,342.19,342.08
1983,12,30665,1983.9562,342.11,341.69,342.49,342.07,342.11,341.69
1984,1,30696,1984.041,      NaN,      NaN,342.76,342.18,342.76,342.18
1984,2,30727,1984.1257,      NaN,      NaN,342.73,342.28,342.73,342.28
1984,3,30756,1984.2049,342.25,342.14,342.5,342.39,342.25,342.14
1984,4,30787,1984.2896,343.04,343.29,342.25,342.5,343.04,343.29
1984,5,30817,1984.3716,      NaN,      NaN,342.21,342.61,342.21,342.61
1984,6,30848,1984.4563,342.49,342.83,342.39,342.73,342.49,342.83
1984,7,30878,1984.5383,342.02,342.24,342.62,342.84,342.02,342.24
1984,8,30909,1984.623,      NaN,      NaN,342.79,342.96,342.79,342.96
1984,9,30940,1984.7077,      NaN,      NaN,342.9,343.08,342.9,343.08
1984,10,30970,1984.7896,      NaN,      NaN,343.09,343.2,343.09,343.2
1984,11,31001,1984.8743,      NaN,      NaN,343.44,343.33,343.44,343.33
1984,12,31031,1984.9563,      NaN,      NaN,343.86,343.44,343.86,343.44
1985,1,31062,1985.0411,      NaN,      NaN,344.15,343.56,344.15,343.56
1985,2,31093,1985.126,      NaN,      NaN,344.13,343.68,344.13,343.68
1985,3,31121,1985.2027,      NaN,      NaN,343.91,343.79,343.91,343.79
1985,4,31152,1985.2877,344.39,344.63,343.66,343.9,344.39,344.63
1985,5,31182,1985.3699,342.72,343.12,343.61,344,342.72,343.12
1985,6,31213,1985.4548,343.07,343.41,343.77,344.11,343.07,343.41
1985,7,31243,1985.537,344.19,344.41,344,344.22,344.19,344.41
1985,8,31274,1985.6219,344.2,344.37,344.17,344.34,344.2,344.37
1985,9,31305,1985.7068,344.55,344.73,344.28,344.46,344.55,344.73
1985,10,31335,1985.789,344.16,344.28,344.46,344.58,344.16,344.28
1985,11,31366,1985.874,344.24,344.13,344.82,344.71,344.24,344.13
1985,12,31396,1985.9562,      NaN,      NaN,345.25,344.83,345.25,344.83
1986,1,31427,1986.0411,      NaN,      NaN,345.55,344.97,345.55,344.97
1986,2,31458,1986.126,346.24,345.78,345.55,345.1,346.24,345.78
1986,3,31486,1986.2027,      NaN,      NaN,345.34,345.22,345.34,345.22
1986,4,31517,1986.2877,      NaN,      NaN,345.1,345.35,345.1,345.35
1986,5,31547,1986.3699,345.41,345.81,345.07,345.47,345.41,345.81
1986,6,31578,1986.4548,344.79,345.13,345.24,345.59,344.79,345.13
1986,7,31608,1986.537,      NaN,      NaN,345.48,345.7,345.48,345.7
1986,8,31639,1986.6219,345.7,345.87,345.65,345.82,345.7,345.87
1986,9,31670,1986.7068,      NaN,      NaN,345.76,345.95,345.76,345.95
1986,10,31700,1986.789,346.06,346.18,345.95,346.07,346.06,346.18
1986,11,31731,1986.874,      NaN,      NaN,346.32,346.21,346.32,346.21
1986,12,31761,1986.9562,      NaN,      NaN,346.77,346.35,346.77,346.35
1987,1,31792,1987.0411,346.31,345.72,347.09,346.51,346.31,345.72
1987,2,31823,1987.126,      NaN,      NaN,347.12,346.68,347.12,346.68
1987,3,31851,1987.2027,      NaN,      NaN,346.96,346.84,346.96,346.84
1987,4,31882,1987.2877,346.48,346.72,346.79,347.03,346.48,346.72
1987,5,31912,1987.3699,347.01,347.41,346.83,347.23,347.01,347.41
1987,6,31943,1987.4548,      NaN,      NaN,347.09,347.43,347.09,347.43
