Yr,Mn,Date Excel,Date,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled [ppm]
1979,1,28870,1979.0411,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1979,2,28901,1979.126,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1979,3,28929,1979.2027,338.94,336.71,339.68,337.44,338.94,336.71
1979,4,28960,1979.2877,339.73,336.75,340.6,337.6,339.73,336.75
1979,5,28990,1979.3699,343.5,339.97,341.28,337.75,343.5,339.97
1979,6,29021,1979.4548,340.05,337.78,340.14,337.9,340.05,337.78
1979,7,29051,1979.537,      NaN,      NaN,337.38,338.03,337.38,338.03
1979,8,29082,1979.6219,336.73,340.12,334.74,338.16,336.73,340.12
1979,9,29113,1979.7068,333.67,338.05,333.89,338.27,333.67,338.05
1979,10,29143,1979.789,334.69,337.98,335.11,338.38,334.69,337.98
1979,11,29174,1979.874,      NaN,      NaN,337.09,338.48,337.09,338.48
1979,12,29204,1979.9562,337.94,338.14,338.38,338.57,337.94,338.14
1980,1,29235,1980.041,      NaN,      NaN,339.43,338.67,339.43,338.67
1980,2,29266,1980.1257,340.66,338.98,340.46,338.77,340.66,338.98
1980,3,29295,1980.2049,340.67,338.43,341.11,338.86,340.67,338.43
1980,4,29326,1980.2896,342.62,339.6,341.99,338.95,342.62,339.6
1980,5,29356,1980.3716,343.3,339.76,342.59,339.05,343.3,339.76
1980,6,29387,1980.4563,341.59,339.35,341.35,339.15,341.59,339.35
1980,7,29417,1980.5383,338.03,338.68,338.55,339.25,338.03,338.68
1980,8,29448,1980.623,336.66,340.08,335.9,339.36,336.66,340.08
1980,9,29479,1980.7077,335.12,339.52,335.07,339.46,335.12,339.52
1980,10,29509,1980.7896,336.28,339.57,336.3,339.57,336.28,339.57
1980,11,29540,1980.8743,338.98,340.38,338.29,339.67,338.98,340.38
1980,12,29570,1980.9563,339.08,339.29,339.57,339.77,339.08,339.29
1981,1,29601,1981.0411,341.06,340.31,340.62,339.86,341.06,340.31
1981,2,29632,1981.126,341.01,339.33,341.65,339.95,341.01,339.33
1981,3,29660,1981.2027,342.82,340.58,342.29,340.03,342.82,340.58
1981,4,29691,1981.2877,342.64,339.63,343.15,340.12,342.64,339.63
1981,5,29721,1981.3699,      NaN,      NaN,343.77,340.21,343.77,340.21
1981,6,29752,1981.4548,      NaN,      NaN,342.56,340.3,342.56,340.3
1981,7,29782,1981.537,338.14,338.75,339.74,340.4,338.14,338.75
1981,8,29813,1981.6219,336.9,340.31,337.06,340.5,336.9,340.31
1981,9,29844,1981.7068,336.46,340.88,336.19,340.6,336.46,340.88
1981,10,29874,1981.789,337.78,341.09,337.41,340.7,337.78,341.09
1981,11,29905,1981.874,339.02,340.44,339.4,340.79,339.02,340.44
1981,12,29935,1981.9562,341.5,341.72,340.68,340.88,341.5,341.72
1982,1,29966,1982.0411,342.14,341.39,341.72,340.96,342.14,341.39
1982,2,29997,1982.126,341.86,340.17,342.74,341.03,341.86,340.17
1982,3,30025,1982.2027,343.49,341.24,343.36,341.1,343.49,341.24
1982,4,30056,1982.2877,344.33,341.31,344.21,341.17,344.33,341.31
1982,5,30086,1982.3699,345.03,341.46,344.81,341.24,345.03,341.46
1982,6,30117,1982.4548,343.82,341.52,343.56,341.3,343.82,341.52
1982,7,30147,1982.537,340.78,341.39,340.69,341.35,340.78,341.39
1982,8,30178,1982.6219,338.33,341.75,337.96,341.41,338.33,341.75
1982,9,30209,1982.7068,      NaN,      NaN,337.05,341.47,337.05,341.47
1982,10,30239,1982.789,337.55,340.88,338.25,341.55,337.55,340.88
1982,11,30270,1982.874,340.04,341.46,340.24,341.64,340.04,341.46
1982,12,30300,1982.9562,341.33,341.54,341.56,341.75,341.33,341.54
1983,1,30331,1983.0411,341.98,341.23,342.66,341.89,341.98,341.23
1983,2,30362,1983.126,343.69,341.99,343.77,342.06,343.69,341.99
1983,3,30390,1983.2027,344.99,342.73,344.48,342.21,344.99,342.73
1983,4,30421,1983.2877,345.42,342.39,345.44,342.4,345.42,342.39
1983,5,30451,1983.3699,346.25,342.67,346.15,342.57,346.25,342.67
1983,6,30482,1983.4548,345.01,342.7,345.03,342.76,345.01,342.7
1983,7,30512,1983.537,342.46,343.07,342.27,342.94,342.46,343.07
1983,8,30543,1983.6219,339.65,343.08,339.65,343.12,339.65,343.08
1983,9,30574,1983.7068,338.53,342.97,338.85,343.29,338.53,342.97
1983,10,30604,1983.789,340.4,343.74,340.15,343.46,340.4,343.74
1983,11,30635,1983.874,342.47,343.9,342.23,343.63,342.47,343.9
1983,12,30665,1983.9562,343.78,343.99,343.58,343.78,343.78,343.99
1984,1,30696,1984.041,344.62,343.87,344.69,343.92,344.62,343.87
1984,2,30727,1984.1257,345.67,343.97,345.76,344.05,345.67,343.97
1984,3,30756,1984.2049,345.95,343.67,346.45,344.16,345.95,343.67
1984,4,30787,1984.2896,348.13,345.07,347.34,344.27,348.13,345.07
1984,5,30817,1984.3716,348.02,344.43,347.95,344.36,348.02,344.43
1984,6,30848,1984.4563,346.79,344.52,346.67,344.44,346.79,344.52
1984,7,30878,1984.5383,344,344.66,343.8,344.51,344,344.66
1984,8,30909,1984.623,340.52,343.99,341.08,344.58,340.52,343.99
1984,9,30940,1984.7077,340.21,344.66,340.21,344.67,340.21,344.66
1984,10,30970,1984.7896,341.64,344.98,341.45,344.76,341.64,344.98
1984,11,31001,1984.8743,342.92,344.35,343.46,344.86,342.92,344.35
1984,12,31031,1984.9563,344.5,344.71,344.77,344.96,344.5,344.71
1985,1,31062,1985.0411,346.15,345.39,345.86,345.09,346.15,345.39
1985,2,31093,1985.126,346.25,344.54,346.94,345.22,346.25,344.54
1985,3,31121,1985.2027,347.69,345.42,347.63,345.35,347.69,345.42
1985,4,31152,1985.2877,348.3,345.25,348.55,345.49,348.3,345.25
1985,5,31182,1985.3699,349.95,346.34,349.22,345.62,349.95,346.34
1985,6,31213,1985.4548,348.72,346.4,348.03,345.74,348.72,346.4
1985,7,31243,1985.537,345.73,346.35,345.18,345.84,345.73,346.35
1985,8,31274,1985.6219,342.68,346.14,342.45,345.94,342.68,346.14
1985,9,31305,1985.7068,340.94,345.41,341.55,346.02,340.94,345.41
1985,10,31335,1985.789,342.92,346.29,342.77,346.1,342.92,346.29
1985,11,31366,1985.874,344.24,345.68,344.78,346.19,344.24,345.68
1985,12,31396,1985.9562,346.24,346.45,346.09,346.29,346.24,346.45
1986,1,31427,1986.0411,346.88,346.12,347.18,346.41,346.88,346.12
1986,2,31458,1986.126,348,346.28,348.27,346.54,348,346.28
1986,3,31486,1986.2027,348.42,346.14,348.98,346.69,348.42,346.14
1986,4,31517,1986.2877,349.84,346.78,349.93,346.86,349.84,346.78
1986,5,31547,1986.3699,350.29,346.67,350.66,347.04,350.29,346.67
1986,6,31578,1986.4548,350,347.67,349.52,347.23,350,347.67
1986,7,31608,1986.537,347.12,347.73,346.73,347.4,347.12,347.73
1986,8,31639,1986.6219,344.52,347.98,344.06,347.56,344.52,347.98
1986,9,31670,1986.7068,343.69,348.18,343.23,347.71,343.69,348.18
1986,10,31700,1986.789,344.69,348.07,344.5,347.84,344.69,348.07
1986,11,31731,1986.874,346.54,347.98,346.55,347.97,346.54,347.98
1986,12,31761,1986.9562,347.72,347.94,347.89,348.09,347.72,347.94
1987,1,31792,1987.0411,349.07,348.31,349,348.22,349.07,348.31
1987,2,31823,1987.126,349.2,347.48,350.1,348.36,349.2,347.48
1987,3,31851,1987.2027,350.68,348.39,350.81,348.51,350.68,348.39
1987,4,31882,1987.2877,351.57,348.5,351.77,348.69,351.57,348.5
1987,5,31912,1987.3699,352.19,348.56,352.5,348.87,352.19,348.56
1987,6,31943,1987.4548,352.08,349.75,351.37,349.07,352.08,349.75
1987,7,31973,1987.537,348.78,349.4,348.6,349.27,348.78,349.4
1987,8,32004,1987.6219,346.38,349.86,345.96,349.48,346.38,349.86
1987,9,32035,1987.7068,344.97,349.48,345.18,349.68,344.97,349.48
1987,10,32065,1987.789,346.61,350,346.53,349.88,346.61,350
1987,11,32096,1987.874,348.22,349.67,348.68,350.1,348.22,349.67
1987,12,32126,1987.9562,349.94,350.15,350.11,350.31,349.94,350.15
1988,1,32157,1988.041,350.88,350.12,351.32,350.54,350.88,350.12
1988,2,32188,1988.1257,352.72,351,352.5,350.77,352.72,351
1988,3,32217,1988.2049,352.86,350.55,353.3,350.98,352.86,350.55
1988,4,32248,1988.2896,354.44,351.34,354.32,351.2,354.44,351.34
1988,5,32278,1988.3716,354.96,351.31,355.05,351.41,354.96,351.31
1988,6,32309,1988.4563,354.03,351.73,353.87,351.61,354.03,351.73
1988,7,32339,1988.5383,351.56,352.23,351.05,351.78,351.56,352.23
1988,8,32370,1988.623,349.3,352.81,348.38,351.93,349.3,352.81
1988,9,32401,1988.7077,347.33,351.85,347.53,352.05,347.33,351.85
1988,10,32431,1988.7896,349.15,352.53,348.79,352.14,349.15,352.53
1988,11,32462,1988.8743,350.76,352.21,350.81,352.23,350.76,352.21
1988,12,32492,1988.9563,351.62,351.83,352.11,352.3,351.62,351.83
1989,1,32523,1989.0411,353.35,352.58,353.17,352.39,353.35,352.58
1989,2,32554,1989.126,353.1,351.37,354.23,352.48,353.1,351.37
1989,3,32582,1989.2027,354.12,351.82,354.9,352.58,354.12,351.82
1989,4,32613,1989.2877,356.09,353,355.81,352.71,356.09,353
1989,5,32643,1989.3699,356.78,353.12,356.49,352.84,356.78,353.12
1989,6,32674,1989.4548,355.79,353.44,355.29,352.98,355.79,353.44
1989,7,32704,1989.537,352.67,353.29,352.44,353.11,352.67,353.29
1989,8,32735,1989.6219,349.56,353.06,349.72,353.25,349.56,353.06
1989,9,32766,1989.7068,349.02,353.55,348.86,353.4,349.02,353.55
1989,10,32796,1989.789,349.94,353.35,350.16,353.53,349.94,353.35
1989,11,32827,1989.874,351.78,353.24,352.25,353.68,351.78,353.24
1989,12,32857,1989.9562,353.99,354.2,353.63,353.83,353.99,354.2
1990,1,32888,1990.0411,354.42,353.65,354.77,353.98,354.42,353.65
1990,2,32919,1990.126,356.53,354.79,355.88,354.13,356.53,354.79
1990,3,32947,1990.2027,356.73,354.42,356.58,354.26,356.73,354.42
1990,4,32978,1990.2877,357.29,354.19,357.52,354.4,357.29,354.19
1990,5,33008,1990.3699,357.68,354.01,358.21,354.54,357.68,354.01
1990,6,33039,1990.4548,356.87,354.51,357,354.68,356.87,354.51
1990,7,33069,1990.537,354.61,355.23,354.13,354.81,354.61,355.23
1990,8,33100,1990.6219,352.66,356.17,351.39,354.93,352.66,356.17
1990,9,33131,1990.7068,350.12,354.66,350.5,355.05,350.12,354.66
1990,10,33161,1990.789,351.78,355.2,351.76,355.15,351.78,355.2
1990,11,33192,1990.874,353.7,355.16,353.81,355.25,353.7,355.16
1990,12,33222,1990.9562,355,355.22,355.15,355.35,355,355.22
1991,1,33253,1991.0411,355.93,355.15,356.25,355.46,355.93,355.15
1991,2,33284,1991.126,356.92,355.17,357.32,355.57,356.92,355.17
1991,3,33312,1991.2027,358.07,355.75,358,355.67,358.07,355.75
1991,4,33343,1991.2877,358.91,355.8,358.9,355.77,358.91,355.8
1991,5,33373,1991.3699,360.19,356.51,359.55,355.87,360.19,356.51
1991,6,33404,1991.4548,358.08,355.71,358.29,355.96,358.08,355.71
1991,7,33434,1991.537,355.57,356.2,355.35,356.03,355.57,356.2
1991,8,33465,1991.6219,353.17,356.69,352.54,356.1,353.17,356.69
1991,9,33496,1991.7068,351.26,355.82,351.6,356.16,351.26,355.82
1991,10,33526,1991.789,352.97,356.4,352.81,356.21,352.97,356.4
1991,11,33557,1991.874,354.52,355.99,354.82,356.26,354.52,355.99
1991,12,33587,1991.9562,355.46,355.68,356.11,356.31,355.46,355.68
1992,1,33618,1992.041,357.09,356.31,357.16,356.36,357.09,356.31
1992,2,33649,1992.1257,358.43,356.68,358.18,356.42,358.43,356.68
1992,3,33678,1992.2049,359.01,356.67,358.82,356.46,359.01,356.67
1992,4,33709,1992.2896,359.99,356.85,359.66,356.5,359.99,356.85
1992,5,33739,1992.3716,360.28,356.59,360.22,356.54,360.28,356.59
1992,6,33770,1992.4563,358.81,356.48,358.86,356.57,358.81,356.48
1992,7,33800,1992.5383,354.06,354.74,355.86,356.6,354.06,354.74
1992,8,33831,1992.623,353.1,356.66,353.03,356.63,353.1,356.66
1992,9,33862,1992.7077,352.2,356.78,352.09,356.67,352.2,356.78
1992,10,33892,1992.7896,353.33,356.76,353.31,356.71,353.33,356.76
1992,11,33923,1992.8743,355.06,356.52,355.32,356.75,355.06,356.52
1992,12,33953,1992.9563,356.9,357.12,356.6,356.8,356.9,357.12
1993,1,33984,1993.0411,357.62,356.84,357.65,356.86,357.62,356.84
1993,2,34015,1993.126,359.12,357.36,358.69,356.92,359.12,357.36
1993,3,34043,1993.2027,358.9,356.56,359.32,356.97,358.9,356.56
1993,4,34074,1993.2877,360.17,357.04,360.19,357.04,360.17,357.04
1993,5,34104,1993.3699,361.44,357.74,360.82,357.12,361.44,357.74
1993,6,34135,1993.4548,359.88,357.5,359.55,357.21,359.88,357.5
1993,7,34165,1993.537,355.51,356.14,356.62,357.31,355.51,356.14
1993,8,34196,1993.6219,353.61,357.16,353.84,357.43,353.61,357.16
1993,9,34227,1993.7068,352.64,357.23,352.97,357.56,352.64,357.23
1993,10,34257,1993.789,354.37,357.83,354.3,357.72,354.37,357.83
1993,11,34288,1993.874,356.03,357.5,356.45,357.9,356.03,357.5
1993,12,34318,1993.9562,358.38,358.6,357.87,358.08,358.38,358.6
1994,1,34349,1994.0411,359.37,358.59,359.06,358.26,359.37,358.59
1994,2,34380,1994.126,360.5,358.73,360.23,358.45,360.5,358.73
1994,3,34408,1994.2027,361.46,359.12,360.97,358.62,361.46,359.12
1994,4,34439,1994.2877,361.79,358.64,361.95,358.8,361.79,358.64
1994,5,34469,1994.3699,362.47,358.75,362.69,358.97,362.47,358.75
1994,6,34500,1994.4548,361.29,358.9,361.51,359.15,361.29,358.9
1994,7,34530,1994.537,358.33,358.96,358.65,359.33,358.33,358.96
1994,8,34561,1994.6219,356.41,359.97,355.93,359.52,356.41,359.97
1994,9,34592,1994.7068,354.73,359.34,355.1,359.71,354.73,359.34
1994,10,34622,1994.789,356.19,359.65,356.45,359.89,356.19,359.65
1994,11,34653,1994.874,358.62,360.1,358.61,360.07,358.62,360.1
1994,12,34683,1994.9562,360.93,361.14,360.03,360.24,360.93,361.14
1995,1,34714,1995.0411,360.79,360,361.2,360.4,360.79,360
1995,2,34745,1995.126,362.8,361.03,362.34,360.56,362.8,361.03
1995,3,34773,1995.2027,362.76,360.41,363.06,360.7,362.76,360.41
1995,4,34804,1995.2877,364.99,361.83,364.01,360.85,364.99,361.83
1995,5,34834,1995.3699,364.23,360.5,364.71,360.99,364.23,360.5
1995,6,34865,1995.4548,362.88,360.48,363.49,361.13,362.88,360.48
1995,7,34895,1995.537,360.46,361.1,360.59,361.28,360.46,361.1
1995,8,34926,1995.6219,357.71,361.28,357.83,361.44,357.71,361.28
1995,9,34957,1995.7068,357.49,362.12,356.97,361.6,357.49,362.12
1995,10,34987,1995.789,359.24,362.71,358.3,361.74,359.24,362.71
1995,11,35018,1995.874,359.77,361.26,360.43,361.89,359.77,361.26
1995,12,35048,1995.9562,361.19,361.41,361.82,362.02,361.19,361.41
1996,1,35079,1996.041,362.58,361.8,362.97,362.17,362.58,361.8
1996,2,35110,1996.1257,364.12,362.35,364.1,362.31,364.12,362.35
1996,3,35139,1996.2049,364.48,362.1,364.84,362.46,364.48,362.1
1996,4,35170,1996.2896,365.82,362.64,365.81,362.61,365.82,362.64
1996,5,35200,1996.3716,365.6,361.87,366.5,362.76,365.6,361.87
1996,6,35231,1996.4563,366.66,364.3,365.24,362.92,366.66,364.3
1996,7,35261,1996.5383,362.66,363.35,362.32,363.06,362.66,363.35
1996,8,35292,1996.623,360.14,363.75,359.55,363.19,360.14,363.75
1996,9,35323,1996.7077,358.63,363.27,358.67,363.3,358.63,363.27
1996,10,35353,1996.7896,360.04,363.52,359.95,363.39,360.04,363.52
1996,11,35384,1996.8743,361.96,363.45,362.02,363.48,361.96,363.45
1996,12,35414,1996.9563,363.65,363.87,363.36,363.56,363.65,363.87
1997,1,35445,1997.0411,364.33,363.55,364.45,363.65,364.33,363.55
1997,2,35476,1997.126,365.55,363.77,365.52,363.73,365.55,363.77
1997,3,35504,1997.2027,365.51,363.15,366.19,363.82,365.51,363.15
1997,4,35535,1997.2877,366.84,363.67,367.12,363.93,366.84,363.67
1997,5,35565,1997.3699,368.46,364.7,367.8,364.05,368.46,364.7
1997,6,35596,1997.4548,366.79,364.37,366.56,364.19,366.79,364.37
1997,7,35626,1997.537,362.96,363.6,363.64,364.34,362.96,363.6
1997,8,35657,1997.6219,361.64,365.24,360.88,364.51,361.64,365.24
