Yr,Mn,Date Excel,Date,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled [ppm]
1960,1,21930,1960.041,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1960,2,21961,1960.1257,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1960,3,21990,1960.2049,317.69,316.3,317.75,316.35,317.69,316.3
1960,4,22021,1960.2896,319.06,316.57,318.93,316.43,319.06,316.57
1960,5,22051,1960.3716,      NaN,      NaN,319.43,316.51,319.43,316.51
1960,6,22082,1960.4563,      NaN,      NaN,318.68,316.59,318.68,316.59
1960,7,22112,1960.5383,      NaN,      NaN,317.13,316.67,317.13,316.67
1960,8,22143,1960.623,315.74,317.32,315.14,316.75,315.74,317.32
1960,9,22174,1960.7077,      NaN,      NaN,313.72,316.83,313.72,316.83
1960,10,22204,1960.7896,312.84,315.85,313.92,316.91,312.84,315.85
1960,11,22235,1960.8743,      NaN,      NaN,315.24,317,315.24,317
1960,12,22265,1960.9563,316.8,317.46,316.43,317.08,316.8,317.46
1961,1,22296,1961.0411,317.4,317.31,317.27,317.17,317.4,317.31
1961,2,22327,1961.126,      NaN,      NaN,317.93,317.26,317.93,317.26
1961,3,22355,1961.2027,318.13,316.76,318.73,317.34,318.13,316.76
1961,4,22386,1961.2877,      NaN,      NaN,319.92,317.43,319.92,317.43
1961,5,22416,1961.3699,      NaN,      NaN,320.47,317.52,320.47,317.52
1961,6,22447,1961.4548,318.82,316.67,319.74,317.62,318.82,316.67
1961,7,22477,1961.537,318.94,318.42,318.2,317.7,318.94,318.42
1961,8,22508,1961.6219,315.5,317.05,316.2,317.79,315.5,317.05
1961,9,22539,1961.7068,315.63,318.73,314.75,317.86,315.63,318.73
1961,10,22569,1961.789,314.91,317.93,314.92,317.93,314.91,317.93
1961,11,22600,1961.874,316.17,317.96,316.22,317.99,316.17,317.96
1961,12,22630,1961.9562,318.14,318.81,317.38,318.04,318.14,318.81
1962,1,22661,1962.0411,317.86,317.77,318.18,318.08,317.86,317.77
1962,2,22692,1962.126,318.35,317.69,318.78,318.12,318.35,317.69
1962,3,22720,1962.2027,320.02,318.65,319.54,318.15,320.02,318.65
1962,4,22751,1962.2877,320.29,317.81,320.68,318.18,320.29,317.81
1962,5,22781,1962.3699,321.53,318.57,321.16,318.21,321.53,318.57
1962,6,22812,1962.4548,320.06,317.9,320.38,318.24,320.06,317.9
1962,7,22842,1962.537,318.01,317.49,318.77,318.28,318.01,317.49
1962,8,22873,1962.6219,317.12,318.68,316.73,318.32,317.12,318.68
1962,9,22904,1962.7068,315.36,318.48,315.24,318.37,315.36,318.48
1962,10,22934,1962.789,314.66,317.69,315.4,318.42,314.66,317.69
1962,11,22965,1962.874,316.94,318.74,316.7,318.47,316.94,318.74
1962,12,22995,1962.9562,      NaN,      NaN,317.87,318.53,317.87,318.53
1963,1,23026,1963.0411,      NaN,      NaN,318.69,318.59,318.69,318.59
1963,2,23057,1963.126,      NaN,      NaN,319.32,318.65,319.32,318.65
1963,3,23085,1963.2027,      NaN,      NaN,320.1,318.7,320.1,318.7
1963,4,23116,1963.2877,      NaN,      NaN,321.27,318.76,321.27,318.76
1963,5,23146,1963.3699,      NaN,      NaN,321.78,318.82,321.78,318.82
1963,6,23177,1963.4548,      NaN,      NaN,321.02,318.88,321.02,318.88
1963,7,23207,1963.537,      NaN,      NaN,319.43,318.93,319.43,318.93
1963,8,23238,1963.6219,      NaN,      NaN,317.39,318.99,317.39,318.99
1963,9,23269,1963.7068,316.42,319.55,315.9,319.04,316.42,319.55
1963,10,23299,1963.789,      NaN,      NaN,316.06,319.09,316.06,319.09
1963,11,23330,1963.874,      NaN,      NaN,317.35,319.13,317.35,319.13
1963,12,23360,1963.9562,      NaN,      NaN,318.52,319.18,318.52,319.18
1964,1,23391,1964.041,      NaN,      NaN,319.32,319.22,319.32,319.22
1964,2,23422,1964.1257,      NaN,      NaN,319.93,319.26,319.93,319.26
1964,3,23451,1964.2049,      NaN,      NaN,320.72,319.29,320.72,319.29
1964,4,23482,1964.2896,      NaN,      NaN,321.87,319.33,321.87,319.33
1964,5,23512,1964.3716,      NaN,      NaN,322.34,319.37,322.34,319.37
1964,6,23543,1964.4563,      NaN,      NaN,321.53,319.4,321.53,319.4
1964,7,23573,1964.5383,      NaN,      NaN,319.91,319.44,319.91,319.44
1964,8,23604,1964.623,      NaN,      NaN,317.85,319.48,317.85,319.48
1964,9,23635,1964.7077,      NaN,      NaN,316.36,319.52,316.36,319.52
1964,10,23665,1964.7896,      NaN,      NaN,316.52,319.56,316.52,319.56
1964,11,23696,1964.8743,      NaN,      NaN,317.82,319.6,317.82,319.6
1964,12,23726,1964.9563,319.02,319.7,318.99,319.65,319.02,319.7
1965,1,23757,1965.0411,319.92,319.83,319.8,319.7,319.92,319.83
1965,2,23788,1965.126,      NaN,      NaN,320.43,319.75,320.43,319.75
1965,3,23816,1965.2027,      NaN,      NaN,321.21,319.81,321.21,319.81
1965,4,23847,1965.2877,322.61,320.1,322.39,319.87,322.61,320.1
1965,5,23877,1965.3699,      NaN,      NaN,322.92,319.94,322.92,319.94
1965,6,23908,1965.4548,      NaN,      NaN,322.17,320.01,322.17,320.01
1965,7,23938,1965.537,319.27,318.74,320.6,320.1,319.27,318.74
1965,8,23969,1965.6219,      NaN,      NaN,318.58,320.19,318.58,320.19
1965,9,24000,1965.7068,      NaN,      NaN,317.13,320.29,317.13,320.29
1965,10,24030,1965.789,      NaN,      NaN,317.35,320.4,317.35,320.4
1965,11,24061,1965.874,      NaN,      NaN,318.72,320.51,318.72,320.51
1965,12,24091,1965.9562,      NaN,      NaN,319.97,320.63,319.97,320.63
