Yr,Mn,Date Excel,Date,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled [ppm]
1977,1,28140,1977.0411,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1977,2,28171,1977.126,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1977,3,28199,1977.2027,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1977,4,28230,1977.2877,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1977,5,28260,1977.3699,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1977,6,28291,1977.4548,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1977,7,28321,1977.537,332.77,332.29,332.63,332.15,332.77,332.29
1977,8,28352,1977.6219,      NaN,      NaN,332.99,332.36,332.99,332.36
1977,9,28383,1977.7068,332.56,332.11,333.01,332.57,332.56,332.11
1977,10,28413,1977.789,332.35,332.34,332.78,332.77,332.35,332.34
1977,11,28444,1977.874,333.8,333.92,332.86,332.98,333.8,333.92
1977,12,28474,1977.9562,333.33,333.47,333.02,333.16,333.33,333.47
1978,1,28505,1978.0411,333.5,333.91,332.92,333.33,333.5,333.91
1978,2,28536,1978.126,333.27,333.74,333.02,333.48,333.27,333.74
1978,3,28564,1978.2027,332.89,333.19,333.3,333.6,332.89,333.19
1978,4,28595,1978.2877,      NaN,      NaN,333.47,333.73,333.47,333.73
1978,5,28625,1978.3699,333.24,333.36,333.74,333.85,333.24,333.36
1978,6,28656,1978.4548,333.79,333.56,334.21,333.98,333.79,333.56
1978,7,28686,1978.537,334.91,334.44,334.59,334.11,334.91,334.44
1978,8,28717,1978.6219,334.13,333.5,334.88,334.25,334.13,333.5
1978,9,28748,1978.7068,335.73,335.27,334.84,334.39,335.73,335.27
1978,10,28778,1978.789,      NaN,      NaN,334.53,334.53,334.53,334.53
1978,11,28809,1978.874,334.44,334.56,334.54,334.66,334.44,334.56
1978,12,28839,1978.9562,      NaN,      NaN,334.64,334.78,334.64,334.78
1979,1,28870,1979.0411,333.57,333.98,334.49,334.91,333.57,333.98
1979,2,28901,1979.126,335.21,335.68,334.56,335.02,335.21,335.68
1979,3,28929,1979.2027,335.11,335.41,334.82,335.12,335.11,335.41
1979,4,28960,1979.2877,      NaN,      NaN,334.95,335.22,334.95,335.22
1979,5,28990,1979.3699,334.63,334.75,335.19,335.3,334.63,334.75
1979,6,29021,1979.4548,      NaN,      NaN,335.62,335.39,335.62,335.39
1979,7,29051,1979.537,336.15,335.68,335.95,335.47,336.15,335.68
1979,8,29082,1979.6219,336.34,335.71,336.19,335.56,336.34,335.71
1979,9,29113,1979.7068,336.27,335.82,336.08,335.64,336.27,335.82
