Yr,Mn,Date Excel,Date,CO2 [ppm],seasonally adjusted [ppm],fit [ppm],seasonally adjusted fit [ppm],CO2 filled [ppm],seasonally adjusted filled [ppm]
1981,1,29601,1981.0411,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981,2,29632,1981.126,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981,3,29660,1981.2027,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981,4,29691,1981.2877,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981,5,29721,1981.3699,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981,6,29752,1981.4548,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981,7,29782,1981.537,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981,8,29813,1981.6219,      NaN,      NaN,        NaN,      NaN,        NaN,      NaN
1981,9,29844,1981.7068,339.03,339.22,339.12,339.31,339.03,339.22
1981,10,29874,1981.789,339.06,339.25,339.3,339.49,339.06,339.25
1981,11,29905,1981.874,339.7,339.75,339.62,339.67,339.7,339.75
1981,12,29935,1981.9562,339.92,339.8,339.96,339.84,339.92,339.8
1982,1,29966,1982.0411,340.69,340.46,340.24,340,340.69,340.46
1982,2,29997,1982.126,340.97,340.69,340.44,340.16,340.97,340.69
1982,3,30025,1982.2027,340.25,340.03,340.5,340.28,340.25,340.03
1982,4,30056,1982.2877,340.78,340.76,340.41,340.4,340.78,340.76
1982,5,30086,1982.3699,339.85,340.01,340.34,340.51,339.85,340.01
1982,6,30117,1982.4548,340.22,340.36,340.46,340.6,340.22,340.36
1982,7,30147,1982.537,341.13,341.18,340.64,340.68,341.13,341.18
1982,8,30178,1982.6219,341.35,341.43,340.67,340.75,341.35,341.43
1982,9,30209,1982.7068,340.53,340.73,340.61,340.81,340.53,340.73
1982,10,30239,1982.789,340.12,340.33,340.68,340.88,340.12,340.33
1982,11,30270,1982.874,340.57,340.62,340.91,340.96,340.57,340.62
1982,12,30300,1982.9562,340.92,340.8,341.18,341.06,340.92,340.8
1983,1,30331,1983.0411,340.62,340.37,341.43,341.19,340.62,340.37
1983,2,30362,1983.126,341.03,340.73,341.64,341.34,341.03,340.73
1983,3,30390,1983.2027,341.04,340.8,341.73,341.5,341.04,340.8
1983,4,30421,1983.2877,341.87,341.85,341.7,341.69,341.87,341.85
1983,5,30451,1983.3699,342.04,342.21,341.7,341.88,342.04,342.21
1983,6,30482,1983.4548,342.4,342.56,341.92,342.07,342.4,342.56
1983,7,30512,1983.537,342.39,342.43,342.2,342.25,342.39,342.43
1983,8,30543,1983.6219,342.41,342.5,342.34,342.42,342.41,342.5
1983,9,30574,1983.7068,342.19,342.4,342.38,342.59,342.19,342.4
1983,10,30604,1983.789,342.64,342.85,342.53,342.74,342.64,342.85
1983,11,30635,1983.874,342.93,342.99,342.83,342.88,342.93,342.99
1983,12,30665,1983.9562,342.56,342.43,343.14,343.01,342.56,342.43
1984,1,30696,1984.041,343.82,343.56,343.4,343.14,343.82,343.56
1984,2,30727,1984.1257,343.89,343.58,343.56,343.25,343.89,343.58
1984,3,30756,1984.2049,343.94,343.7,343.59,343.35,343.94,343.7
1984,4,30787,1984.2896,343.54,343.53,343.46,343.45,343.54,343.53
1984,5,30817,1984.3716,342.85,343.03,343.37,343.55,342.85,343.03
1984,6,30848,1984.4563,343.01,343.17,343.51,343.67,343.01,343.17
1984,7,30878,1984.5383,343.39,343.44,343.74,343.79,343.39,343.44
1984,8,30909,1984.623,343.75,343.84,343.83,343.92,343.75,343.84
1984,9,30940,1984.7077,344.44,344.66,343.85,344.07,344.44,344.66
1984,10,30970,1984.7896,344.12,344.34,343.99,344.21,344.12,344.34
1984,11,31001,1984.8743,343.91,343.97,344.3,344.35,343.91,343.97
1984,12,31031,1984.9563,344.67,344.53,344.63,344.5,344.67,344.53
1985,1,31062,1985.0411,344.82,344.55,344.92,344.64,344.82,344.55
1985,2,31093,1985.126,345.18,344.85,345.11,344.79,345.18,344.85
1985,3,31121,1985.2027,345.27,345.01,345.17,344.91,345.27,345.01
1985,4,31152,1985.2877,345.34,345.32,345.06,345.05,345.34,345.32
1985,5,31182,1985.3699,344.64,344.83,344.99,345.18,344.64,344.83
1985,6,31213,1985.4548,344.81,344.97,345.16,345.32,344.81,344.97
1985,7,31243,1985.537,345.03,345.08,345.41,345.46,345.03,345.08
1985,8,31274,1985.6219,345.1,345.2,345.5,345.6,345.1,345.2
1985,9,31305,1985.7068,346.61,346.84,345.5,345.73,346.61,346.84
1985,10,31335,1985.789,345.74,345.97,345.62,345.85,345.74,345.97
1985,11,31366,1985.874,346.17,346.23,345.91,345.96,346.17,346.23
1985,12,31396,1985.9562,      NaN,      NaN,346.21,346.06,346.21,346.06
1986,1,31427,1986.0411,346.18,345.9,346.44,346.15,346.18,345.9
1986,2,31458,1986.126,      NaN,      NaN,346.58,346.24,346.58,346.24
1986,3,31486,1986.2027,346.67,346.4,346.57,346.3,346.67,346.4
1986,4,31517,1986.2877,346.69,346.68,346.39,346.37,346.69,346.68
1986,5,31547,1986.3699,345.82,346.01,346.24,346.44,345.82,346.01
1986,6,31578,1986.4548,346.14,346.31,346.34,346.5,346.14,346.31
1986,7,31608,1986.537,346.6,346.65,346.51,346.57,346.6,346.65
1986,8,31639,1986.6219,345.72,345.82,346.53,346.63,345.72,345.82
1986,9,31670,1986.7068,      NaN,      NaN,346.46,346.7,346.46,346.7
1986,10,31700,1986.789,347.07,347.31,346.53,346.76,347.07,347.31
1986,11,31731,1986.874,346.94,347,346.78,346.84,346.94,347
1986,12,31761,1986.9562,346.78,346.63,347.07,346.92,346.78,346.63
1987,1,31792,1987.0411,346.96,346.67,347.31,347.01,346.96,346.67
1987,2,31823,1987.126,347.54,347.19,347.48,347.12,347.54,347.19
1987,3,31851,1987.2027,348.56,348.28,347.5,347.23,348.56,348.28
1987,4,31882,1987.2877,347,346.98,347.37,347.36,347,346.98
1987,5,31912,1987.3699,347.23,347.43,347.3,347.5,347.23,347.43
1987,6,31943,1987.4548,347.25,347.43,347.49,347.67,347.25,347.43
1987,7,31973,1987.537,347.52,347.57,347.79,347.85,347.52,347.57
1987,8,32004,1987.6219,347.97,348.07,347.94,348.05,347.97,348.07
1987,9,32035,1987.7068,348.15,348.4,348.01,348.26,348.15,348.4
1987,10,32065,1987.789,348.19,348.44,348.21,348.46,348.19,348.44
1987,11,32096,1987.874,348.85,348.91,348.61,348.67,348.85,348.91
1987,12,32126,1987.9562,349.21,349.06,349.02,348.87,349.21,349.06
1988,1,32157,1988.041,349.56,349.26,349.37,349.06,349.56,349.26
1988,2,32188,1988.1257,349.89,349.52,349.61,349.24,349.89,349.52
1988,3,32217,1988.2049,349.37,349.08,349.69,349.41,349.37,349.08
1988,4,32248,1988.2896,349.66,349.65,349.59,349.59,349.66,349.65
1988,5,32278,1988.3716,349.47,349.68,349.54,349.75,349.47,349.68
1988,6,32309,1988.4563,349.61,349.79,349.75,349.93,349.61,349.79
1988,7,32339,1988.5383,349.87,349.93,350.04,350.09,349.87,349.93
1988,8,32370,1988.623,350.08,350.18,350.16,350.27,350.08,350.18
1988,9,32401,1988.7077,349.99,350.25,350.19,350.45,349.99,350.25
1988,10,32431,1988.7896,350.36,350.62,350.36,350.61,350.36,350.62
1988,11,32462,1988.8743,350.75,350.82,350.72,350.78,350.75,350.82
1988,12,32492,1988.9563,351.21,351.05,351.09,350.93,351.21,351.05
1989,1,32523,1989.0411,351.64,351.32,351.39,351.07,351.64,351.32
1989,2,32554,1989.126,351.98,351.59,351.57,351.19,351.98,351.59
1989,3,32582,1989.2027,351.06,350.76,351.58,351.28,351.06,350.76
1989,4,32613,1989.2877,351.89,351.87,351.38,351.36,351.89,351.87
1989,5,32643,1989.3699,351.76,351.98,351.21,351.43,351.76,351.98
1989,6,32674,1989.4548,351.08,351.28,351.3,351.49,351.08,351.28
1989,7,32704,1989.537,351.24,351.3,351.48,351.54,351.24,351.3
1989,8,32735,1989.6219,351.3,351.4,351.49,351.6,351.3,351.4
1989,9,32766,1989.7068,351.31,351.58,351.4,351.67,351.31,351.58
1989,10,32796,1989.789,351.4,351.67,351.49,351.75,351.4,351.67
1989,11,32827,1989.874,351.87,351.94,351.79,351.86,351.87,351.94
1989,12,32857,1989.9562,351.83,351.67,352.14,351.97,351.83,351.67
1990,1,32888,1990.0411,352.29,351.96,352.44,352.1,352.29,351.96
1990,2,32919,1990.126,351.66,351.26,352.65,352.26,351.66,351.26
1990,3,32947,1990.2027,352.84,352.53,352.71,352.4,352.84,352.53
1990,4,32978,1990.2877,353.09,353.07,352.59,352.57,353.09,353.07
1990,5,33008,1990.3699,352.38,352.61,352.5,352.73,352.38,352.61
1990,6,33039,1990.4548,353.05,353.25,352.7,352.9,353.05,353.25
