"-------------------------------------------------------------------------------------------"
" Monthly average CO2 concentrations (ppm) derived from daily flask and in situ (continuous) data. "
" Scripps Pier, La Jolla, California.                                                       "
"  In situ data is sporadically used only during a limited time period from 1957 to 1962"
"  Outside this period, the record is entirely flask-based"
"                                                                                           "
" Source: R. F. Keeling and S. J. Walker                                                    "
" Scripps CO2 Program ( http://scrippsco2.ucsd.edu )                                        "
" Scripps Institution of Oceanography (SIO)                                                 "
" University of California                                                                  "
" La Jolla, California USA 92093-0244                                                       "
"                                                                                           "
" Status of data and correspondence:                                                        "
"                                                                                           "
" These data are subject to revision based on recalibration of standard gases. Questions    "
" about the data should be directed to Dr. Ralph Keeling (rkeeling AT ucsd.edu) and         "
" Dr. Stephen Walker (sjwalker AT ucsd.edu), Scripps CO2 Program.                           "
"                                                                                           "
" Flask data from archive dated 14-Oct-2021 09:23:51                                        "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" Please cite as:                                                                           "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Exchanges of atmospheric CO2 and 13CO2 with the terrestrial biosphere and   "
" oceans from 1978 to 2000.  I. Global aspects, SIO Reference Series, No. 01-06, Scripps    "
" Institution of Oceanography, San Diego, 88 pages, 2001.                                   "
"                                                                                           "
" If it is necessary to cite a peer-reviewed article, please cite as:                       "
"                                                                                           "
" C. D. Keeling, S. C. Piper, R. B. Bacastow, M. Wahlen, T. P. Whorf, M. Heimann, and       "
" H. A. Meijer, Atmospheric CO2 and 13CO2 exchange with the terrestrial biosphere and       "
" oceans from 1978 to 2000: observations and carbon cycle implications, pages 83-113,       "
" in "A History of Atmospheric CO2 and its effects on Plants, Animals, and Ecosystems",     "
" editors, Ehleringer, J.R., T. E. Cerling, M. D. Dearing, Springer Verlag,                 "
" New York, 2005.                                                                           "
"                                                                                           "
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats. Column 5 below gives monthly CO2 concentrations in micro-mol CO2 per mole (ppm)  "
" reported on the 2012 SIO manometric mole fraction scale.  This is the standard           "
" version of the data most often sought.  The monthly values have been adjusted             "
" to 24:00 hours on the 15th of each month.  Column 6 gives the same data after a seasonal  "
" adjustment to remove the quasi-regular seasonal cycle.  The adjustment involves           "
" subtracting from the data a 4-harmonic fit with a linear gain factor.  Column 7 is a      "
" smoothed version of the data generated from a stiff cubic spline function plus 4-harmonic "
" functions with linear gain.  Column 8 is the same smoothed version with the seasonal      "
" cycle removed.  Column 9 is identical to Column 5 except that the missing values from     "
" Column 5 have been filled with values from Column 7.  Column 10 is identical to Column 6  "
" except missing values have been filled with values from Column 8.  Missing values are     "
" denoted by -99.99                                                                         "
"                                                                                           "
" CO2 concentrations are measured on the '12' calibration scale                             "
"                                                                                           "
  Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
    ,   ,        ,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
    ,   ,   Excel,          ,   [ppm],    [ppm] ,      [ppm],    [ppm],       [ppm],    [ppm]
1969, 01,   25218, 1969.0411,   331.44,   329.61,     329.00,   327.17,     331.44,   329.61
1969, 02,   25249, 1969.1260,   326.52,   324.31,     329.29,   327.08,     326.52,   324.31
1969, 03,   25277, 1969.2027,      NaN,      NaN,     329.62,   327.01,     329.62,   327.01
1969, 04,   25308, 1969.2877,   327.92,   324.61,     330.27,   326.94,     327.92,   324.61
1969, 05,   25338, 1969.3699,      NaN,      NaN,     330.30,   326.89,     330.30,   326.89
1969, 06,   25369, 1969.4548,   326.33,   324.86,     328.28,   326.85,     326.33,   324.86
1969, 07,   25399, 1969.5370,      NaN,      NaN,     324.29,   326.83,     324.29,   326.83
1969, 08,   25430, 1969.6219,      NaN,      NaN,     321.09,   326.82,     321.09,   326.82
1969, 09,   25461, 1969.7068,      NaN,      NaN,     321.77,   326.81,     321.77,   326.81
1969, 10,   25491, 1969.7890,   325.62,   327.91,     324.57,   326.81,     325.62,   327.91
1969, 11,   25522, 1969.8740,      NaN,      NaN,     326.71,   326.82,     326.71,   326.82
1969, 12,   25552, 1969.9562,      NaN,      NaN,     327.87,   326.83,     327.87,   326.83
1970, 01,   25583, 1970.0411,      NaN,      NaN,     328.70,   326.85,     328.70,   326.85
1970, 02,   25614, 1970.1260,      NaN,      NaN,     329.09,   326.87,     329.09,   326.87
1970, 03,   25642, 1970.2027,      NaN,      NaN,     329.51,   326.89,     329.51,   326.89
1970, 04,   25673, 1970.2877,   329.14,   325.81,     330.26,   326.92,     329.14,   325.81
1970, 05,   25703, 1970.3699,   331.66,   328.22,     330.38,   326.95,     331.66,   328.22
1970, 06,   25734, 1970.4548,   328.17,   326.69,     328.42,   326.99,     328.17,   326.69
1970, 07,   25764, 1970.5370,      NaN,      NaN,     324.47,   327.03,     324.47,   327.03
1970, 08,   25795, 1970.6219,      NaN,      NaN,     321.31,   327.07,     321.31,   327.07
1970, 09,   25826, 1970.7068,   322.34,   327.46,     322.05,   327.12,     322.34,   327.46
1970, 10,   25856, 1970.7890,      NaN,      NaN,     324.92,   327.17,     324.92,   327.17
1970, 11,   25887, 1970.8740,      NaN,      NaN,     327.12,   327.23,     327.12,   327.23
1970, 12,   25917, 1970.9562,   327.29,   326.25,     328.34,   327.29,     327.29,   326.25
1971, 01,   25948, 1971.0411,      NaN,      NaN,     329.21,   327.35,     329.21,   327.35
1971, 02,   25979, 1971.1260,   329.72,   327.48,     329.66,   327.42,     329.72,   327.48
1971, 03,   26007, 1971.2027,   330.24,   327.60,     330.12,   327.48,     330.24,   327.60
