"","Yr","station","CO2_concentration_ratio"
"1",1960,"alt",NA
"2",1960,"mlo",NA
"3",1960,"kum",NA
"4",1960,"chr",NA
"5",1960,"sam",NA
"6",1960,"ker",NA
"7",1960,"nzd",NA
"8",1961,"alt",NA
"9",1961,"mlo",1.0020387424267
"10",1961,"kum",NA
"11",1961,"chr",NA
"12",1961,"sam",NA
"13",1961,"ker",NA
"14",1961,"nzd",NA
"15",1962,"alt",NA
"16",1962,"mlo",1.0035603650075
"17",1962,"kum",NA
"18",1962,"chr",NA
"19",1962,"sam",NA
"20",1962,"ker",NA
"21",1962,"nzd",NA
"22",1963,"alt",NA
"23",1963,"mlo",0.994406033940918
"24",1963,"kum",NA
"25",1963,"chr",NA
"26",1963,"sam",NA
"27",1963,"ker",NA
"28",1963,"nzd",NA
"29",1964,"alt",NA
"30",1964,"mlo",1.00821692686935
"31",1964,"kum",NA
"32",1964,"chr",NA
"33",1964,"sam",NA
"34",1964,"ker",NA
"35",1964,"nzd",NA
"36",1965,"alt",NA
"37",1965,"mlo",1.00495266754435
"38",1965,"kum",NA
"39",1965,"chr",NA
"40",1965,"sam",NA
"41",1965,"ker",NA
"42",1965,"nzd",NA
"43",1966,"alt",NA
"44",1966,"mlo",1.00179351216469
"45",1966,"kum",NA
"46",1966,"chr",NA
"47",1966,"sam",NA
"48",1966,"ker",NA
"49",1966,"nzd",NA
"50",1967,"alt",NA
"51",1967,"mlo",1.00820425001946
"52",1967,"kum",NA
"53",1967,"chr",NA
"54",1967,"sam",NA
"55",1967,"ker",NA
"56",1967,"nzd",NA
"57",1968,"alt",NA
"58",1968,"mlo",0.99666471078719
"59",1968,"kum",NA
"60",1968,"chr",NA
"61",1968,"sam",NA
"62",1968,"ker",NA
"63",1968,"nzd",NA
"64",1969,"alt",NA
"65",1969,"mlo",1.0050940414588
"66",1969,"kum",NA
"67",1969,"chr",NA
"68",1969,"sam",NA
"69",1969,"ker",NA
"70",1969,"nzd",NA
"71",1970,"alt",NA
"72",1970,"mlo",1.00332743479235
"73",1970,"kum",NA
"74",1970,"chr",NA
"75",1970,"sam",NA
"76",1970,"ker",NA
"77",1970,"nzd",NA
"78",1971,"alt",NA
"79",1971,"mlo",1.00299479700111
"80",1971,"kum",NA
"81",1971,"chr",NA
"82",1971,"sam",NA
"83",1971,"ker",NA
"84",1971,"nzd",NA
"85",1972,"alt",NA
"86",1972,"mlo",1.00410606116305
"87",1972,"kum",NA
"88",1972,"chr",NA
"89",1972,"sam",NA
"90",1972,"ker",NA
"91",1972,"nzd",NA
"92",1973,"alt",NA
"93",1973,"mlo",1.00632052109976
"94",1973,"kum",NA
"95",1973,"chr",NA
"96",1973,"sam",NA
"97",1973,"ker",NA
"98",1973,"nzd",NA
"99",1974,"alt",NA
