"","Yr","station","CO2_concentration"
"1",1960,"alt",NA
"2",1960,"mlo",1582.13
"3",1960,"kum",NA
"4",1960,"chr",NA
"5",1960,"sam",NA
"6",1960,"ker",NA
"7",1961,"alt",NA
"8",1961,"mlo",2853.64
"9",1961,"kum",NA
"10",1961,"chr",NA
"11",1961,"sam",NA
"12",1961,"ker",NA
"13",1962,"alt",NA
"14",1962,"mlo",3500.2
"15",1962,"kum",NA
"16",1962,"chr",NA
"17",1962,"sam",NA
"18",1962,"ker",NA
"19",1963,"alt",NA
"20",1963,"mlo",316.42
"21",1963,"kum",NA
"22",1963,"chr",NA
"23",1963,"sam",NA
"24",1963,"ker",NA
"25",1964,"alt",NA
"26",1964,"mlo",319.02
"27",1964,"kum",NA
"28",1964,"chr",NA
"29",1964,"sam",NA
"30",1964,"ker",NA
"31",1965,"alt",NA
"32",1965,"mlo",961.8
"33",1965,"kum",NA
"34",1965,"chr",NA
"35",1965,"sam",NA
"36",1965,"ker",NA
"37",1966,"alt",NA
"38",1966,"mlo",1927.05
"39",1966,"kum",NA
"40",1966,"chr",NA
"41",1966,"sam",NA
"42",1966,"ker",NA
"43",1967,"alt",NA
"44",1967,"mlo",647.62
"45",1967,"kum",NA
"46",1967,"chr",NA
"47",1967,"sam",NA
"48",1967,"ker",NA
"49",1968,"alt",NA
"50",1968,"mlo",2259.11
"51",1968,"kum",NA
"52",1968,"chr",NA
"53",1968,"sam",NA
"54",1968,"ker",NA
"55",1969,"alt",NA
"56",1969,"mlo",3243.74
"57",1969,"kum",NA
"58",1969,"chr",NA
"59",1969,"sam",NA
"60",1969,"ker",NA
"61",1970,"alt",NA
"62",1970,"mlo",2929.08
"63",1970,"kum",NA
"64",1970,"chr",NA
"65",1970,"sam",NA
"66",1970,"ker",NA
"67",1971,"alt",NA
"68",1971,"mlo",3264.28
"69",1971,"kum",NA
"70",1971,"chr",NA
"71",1971,"sam",NA
"72",1971,"ker",NA
"73",1972,"alt",NA
"74",1972,"mlo",3933.22
"75",1972,"kum",NA
"76",1972,"chr",NA
"77",1972,"sam",NA
"78",1972,"ker",NA
"79",1973,"alt",NA
"80",1973,"mlo",3628.24
"81",1973,"kum",NA
"82",1973,"chr",NA
"83",1973,"sam",NA
"84",1973,"ker",NA
"85",1974,"alt",NA
"86",1974,"mlo",3959.76
"87",1974,"kum",NA
"88",1974,"chr",331.26
"89",1974,"sam",NA
"90",1974,"ker",NA
"91",1975,"alt",NA
"92",1975,"mlo",3642.39
"93",1975,"kum",NA
"94",1975,"chr",3652.98
"95",1975,"sam",NA
"96",1975,"ker",NA
"97",1976,"alt",NA
"98",1976,"mlo",3985.6
"99",1976,"kum",NA
"100",1976,"chr",1330.8
"101",1976,"sam",NA
"102",1976,"ker",NA
"103",1977,"alt",NA
"104",1977,"mlo",4004.39
"105",1977,"kum",NA
"106",1977,"chr",4010.86
"107",1977,"sam",NA
"108",1977,"ker",NA
"109",1978,"alt",NA
"110",1978,"mlo",2685.15
"111",1978,"kum",NA
"112",1978,"chr",4027.74
"113",1978,"sam",NA
"114",1978,"ker",NA
"115",1979,"alt",NA
"116",1979,"mlo",4043.49
"117",1979,"kum",2705.25
"118",1979,"chr",3372.87
"119",1979,"sam",NA
"120",1979,"ker",NA
"121",1980,"alt",NA
"122",1980,"mlo",3388.16
"123",1980,"kum",3732.99
"124",1980,"chr",2037.86
"125",1980,"sam",NA
"126",1980,"ker",NA
"127",1981,"alt",NA
"128",1981,"mlo",3741.19
"129",1981,"kum",3397.33
"130",1981,"chr",3743.9
"131",1981,"sam",1357.71
"132",1981,"ker",NA
"133",1982,"alt",NA
"134",1982,"mlo",4092.12
"135",1982,"kum",3758.7
"136",1982,"chr",1367.45
"137",1982,"sam",4087.38
"138",1982,"ker",340.34
"139",1983,"alt",NA
"140",1983,"mlo",4112.28
"141",1983,"kum",4114.63
"142",1983,"chr",2402.77
"143",1983,"sam",4104.12
"144",1983,"ker",2049.88
"145",1984,"alt",NA
"146",1984,"mlo",4132.5
"147",1984,"kum",4132.97
"148",1984,"chr",4135.9
"149",1984,"sam",4125.33
"150",1984,"ker",1369.8
"151",1985,"alt",NA
"152",1985,"mlo",4147.56
"153",1985,"kum",4149.81
"154",1985,"chr",4149.7
"155",1985,"sam",3798.71
"156",1985,"ker",2751.52
"157",1986,"alt",NA
"158",1986,"mlo",4163.13
"159",1986,"kum",4167.71
"160",1986,"chr",4164.21
"161",1986,"sam",3464.61
"162",1986,"ker",1728.2
"163",1987,"alt",NA
"164",1987,"mlo",4187.37
"165",1987,"kum",4189.69
"166",1987,"chr",4186.58
"167",1987,"sam",4174.43
"168",1987,"ker",2432.03
"169",1988,"alt",NA
"170",1988,"mlo",4217.46
"171",1988,"kum",4219.61
"172",1988,"chr",4215.98
"173",1988,"sam",4199.82
"174",1988,"ker",3146.16
"175",1989,"alt",NA
"176",1989,"mlo",4233.07
"177",1989,"kum",4236.19
"178",1989,"chr",4234.68
"179",1989,"sam",4218.36
"180",1989,"ker",3156.36
"181",1990,"alt",NA
"182",1990,"mlo",4252.25
"183",1990,"kum",4257.39
"184",1990,"chr",2479.72
"185",1990,"sam",4234.3
"186",1990,"ker",2818.74
"187",1991,"alt",NA
"188",1991,"mlo",4266.06
"189",1991,"kum",4271.05
"190",1991,"chr",3906.71
"191",1991,"sam",4251.73
"192",1991,"ker",2474.96
"193",1992,"alt",NA
"194",1992,"mlo",4276.87
"195",1992,"kum",4278.26
"196",1992,"chr",3918.36
"197",1992,"sam",4261.55
"198",1992,"ker",2836.23
"199",1993,"alt",NA
"200",1993,"mlo",4283.68
"201",1993,"kum",4287.67
"202",1993,"chr",3932.45
"203",1993,"sam",4272.21
"204",1993,"ker",2845.45
"205",1994,"alt",NA
"206",1994,"mlo",4304.39
"207",1994,"kum",4312.09
"208",1994,"chr",3591.92
"209",1994,"sam",4292.45
"210",1994,"ker",2498.71
"211",1995,"alt",NA
"212",1995,"mlo",4328.51
"213",1995,"kum",4334.31
"214",1995,"chr",1804.22
"215",1995,"sam",4315.67
"216",1995,"ker",1435.71
"217",1996,"alt",NA
"218",1996,"mlo",4350.44
"219",1996,"kum",4356.34
"220",1996,"chr",2179.42
"221",1996,"sam",4336.18
"222",1996,"ker",2883.47
"223",1997,"alt",NA
"224",1997,"mlo",4363.97
"225",1997,"kum",4371.48
"226",1997,"chr",3638.16
"227",1997,"sam",4348.71
"228",1997,"ker",2532.08
"229",1998,"alt",NA
"230",1998,"mlo",4398.67
"231",1998,"kum",4402.75
"232",1998,"chr",3304.1
"233",1998,"sam",4377.23
"234",1998,"ker",1821.4
"235",1999,"alt",NA
"236",1999,"mlo",4419.03
"237",1999,"kum",4423.27
"238",1999,"chr",4055.74
"239",1999,"sam",4404.17
"240",1999,"ker",2931.45
"241",2000,"alt",NA
"242",2000,"mlo",4436.5
"243",2000,"kum",4442.16
"244",2000,"chr",4443.49
"245",2000,"sam",4418.88
"246",2000,"ker",3306.34
"247",2001,"alt",NA
"248",2001,"mlo",4455.67
"249",2001,"kum",4461.1
"250",2001,"chr",371.08
"251",2001,"sam",4440.12
"252",2001,"ker",2212.25
"253",2002,"alt",NA
"254",2002,"mlo",4476.65
"255",2002,"kum",4480.49
"256",2002,"chr",1870.15
"257",2002,"sam",4464.14
"258",2002,"ker",2230.96
"259",2003,"alt",NA
"260",2003,"mlo",4510.19
"261",2003,"kum",4511.73
"262",2003,"chr",2630.13
"263",2003,"sam",4490.61
"264",2003,"ker",2240.91
"265",2004,"alt",NA
"266",2004,"mlo",4529.43
"267",2004,"kum",4536.66
"268",2004,"chr",4534.48
"269",2004,"sam",4512.65
"270",2004,"ker",1500.85
"271",2005,"alt",NA
"272",2005,"mlo",4557.15
"273",2005,"kum",4559.93
"274",2005,"chr",3798.81
"275",2005,"sam",4536.46
"276",2005,"ker",2641.69
"277",2006,"alt",NA
"278",2006,"mlo",4581.74
"279",2006,"kum",4587.99
"280",2006,"chr",4202.03
"281",2006,"sam",4560.51
"282",2006,"ker",1138.73
"283",2007,"alt",NA
"284",2007,"mlo",4604.98
"285",2007,"kum",4608.04
"286",2007,"chr",4221.35
"287",2007,"sam",4586.97
"288",2007,"ker",1525.58
"289",2008,"alt",NA
"290",2008,"mlo",4626.66
"291",2008,"kum",4631.57
"292",2008,"chr",4627.06
"293",2008,"sam",4607.8
"294",2008,"ker",767.25
"295",2009,"alt",NA
"296",2009,"mlo",4647.72
"297",2009,"kum",4654.84
"298",2009,"chr",3100.85
"299",2009,"sam",4620.12
"300",2009,"ker",1538.67
"301",2010,"alt",NA
"302",2010,"mlo",4677.22
"303",2010,"kum",4681.06
"304",2010,"chr",3111.42
"305",2010,"sam",3490.04
"306",2010,"ker",2323.36
"307",2011,"alt",1560.45
"308",2011,"mlo",4700.82
"309",2011,"kum",4709.15
"310",2011,"chr",4303.02
"311",2011,"sam",4285.58
"312",2011,"ker",1560.06
"313",2012,"alt",4739.16
"314",2012,"mlo",4727.52
"315",2012,"kum",4736.09
"316",2012,"chr",3149.72
"317",2012,"sam",4703.56
"318",2012,"ker",1955.94
"319",2013,"alt",4372.07
"320",2013,"mlo",4762.83
"321",2013,"kum",4768.49
"322",2013,"chr",1984.61
"323",2013,"sam",4739.75
"324",2013,"ker",1968.16
"325",2014,"alt",3614.06
"326",2014,"mlo",4788.41
"327",2014,"kum",4792.26
